SK_CARD_002_CONCEPT_TXT	全ユニットで発動
SK_CS_CARD_003_CONCEPT_TXT	カノンが装備すると発動可能
SK_SNI_LEG_SNIPE_CONCEPT_TXT	ランベルが装備すると発動可能
SK_SNI_HEAD_SNIPE_CONCEPT_TXT	ランベルが装備すると発動可能
SK_SNI_PIERCING_SNIPE_CONCEPT_TXT	ランベルが装備すると発動可能
SK_SNI_A_MATERIAL_BURST_CONCEPT_TXT	ランベルが装備すると発動可能
SK_CANON_CARD_001_SKILL1_CONCEPT_TXT	カノンが装備すると発動可能
SK_CANON_CARD_001_SKILL2_CONCEPT_TXT	カノンが装備すると発動可能
SK_KADA_WEPON_CONCEPT_TXT	カダノバが装備すると発動可能
SK_HIEN_CARD_001_CONCEPT_TXT	出身地がエンヴィリアのユニットが装備すると発動可能
SK_ARMS_SWO_CLOE_CONCEPT_TXT	出身地がエンヴィリアのユニットが装備すると発動可能
SK_ARM_STRENGTH_CONCEPT_TXT	全ユニットで発動
SK_DGN_SKY_HIGH_CONCEPT_TXT	全ユニットで発動
SK_MAD_SUPPORT_2_CONCEPT_TXT	全ユニットで発動
SK_CS_CARD_004_CONCEPT_TXT	全ユニットで発動
SK_PSI_SUPPORT_2_CONCEPT_TXT	全ユニットで発動
SK_AF_ACCS_BRACELET_02_WA_CONCEPT_TXT	全ユニットで発動
SK_CS_CARD_005_CONCEPT_TXT	女性ユニットが装備すると発動可能
SK_CS_CARD_006_CONCEPT_TXT	男性ユニットが装備すると発動可能
SK_CS_CARD_007_CONCEPT_TXT	闇属性ユニットが装備すると発動可能
SK_CS_CARD_008_CONCEPT_TXT	暗黒騎士、ダークナイトが装備すると発動可能
SK_CS_CARD_009_CONCEPT_TXT	出身地がエンヴィリアのユニットが装備すると発動可能
SK_CS_CARD_010_CONCEPT_TXT	緋炎騎士団
SK_CARD_SEIREINOKAGO_CONCEPT_TXT	聖騎士または魔道士のランベルまたはカノンまたはメリアが装備すると発動可能
SK_CARD_OVER_SOUL_CONCEPT_TXT	戦士または魔道士のランベルまたはカノンまたはメリアが装備すると発動可能
SK_CARD_SUPPORT_2_CONCEPT_TXT	忍者またはマーシャルマスターのランベルまたはカノンまたはメリアが装備すると発動可能
SK_AF_ACCS_SQ_BELT_01_5_CONCEPT_TXT	聖騎士または魔道士のランベルまたはカノンまたはメリアが装備すると発動可能
SK_AF_ARMS_TEM_02_5_CONCEPT_TXT	戦士または魔道士のランベルまたはカノンまたはメリアが装備すると発動可能
SK_ARMO_FUNDOSHI_CONCEPT_TXT	忍者またはマーシャルマスターのランベルまたはカノンまたはメリアが装備すると発動可能

SK_GS1_ENVYRIA_VETTEL_01_CONCEPT_TXT	特定ユニットが装備するとPT内の特定ユニットの能力UP<br>対象ユニット：<br>ヴェテル<br>クロエ<br>ヴィクター<br>ジェラルド<br>ナタリー<br>ダルタニアン<br>ニーナ<br>レン<br>ジュウベエ<br>セリス<br>※世界樹コラボver、ダークファントムverのクロエは含まれません
SK_GS1_ENVYRIA_CLOE_01_CONCEPT_TXT	特定ユニットが装備するとPT内の特定ユニットの能力UP<br>対象ユニット：<br>ヴェテル<br>クロエ<br>ヴィクター<br>ジェラルド<br>ナタリー<br>ダルタニアン<br>ニーナ<br>レン<br>ジュウベエ<br>セリス<br>※世界樹コラボver、ダークファントムverのクロエは含まれません
SK_GS1_ENVYRIA_FAIRLILY_01_CONCEPT_TXT	エンヴィリア出身ユニットが装備するとPT内のエンヴィリア出身ユニットの能力UP
SK_GS1_ENVYRIA_SHAYNA_01_CONCEPT_TXT	エンヴィリア出身ユニットが装備するとPT内のエンヴィリア出身ユニットの能力UP
SK_GS1_ENVYRIA_LGDSAG_01_CONCEPT_TXT	エンヴィリア出身ユニットが装備するとPT内のエンヴィリア出身ユニットの能力UP
SK_GS1_ENVYRIA_ELIZABETH_01_CONCEPT_TXT	エンヴィリア出身ユニットが装備するとPT内のエンヴィリア出身ユニットの能力UP
SK_GS1_ENVYRIA_MONZOTM_01_CONCEPT_TXT	特定ユニットが装備するとPT内の特定ユニットの能力UP<br>対象ユニット：<br>カノン<br>カノンver．決戦礼装<br>カダノバ<br>カグラ<br>クダンシュタイン<br>クダンシュタインver．舞台版<br>クダンシュタインver．決戦礼装<br>セーダ<br>セーダver．決戦礼装<br>モンゼイン<br>ザイン<br>ザインver．決戦礼装<br>オーティマ<br>オーティマver．決戦礼装<br>ヤウラス<br>ヤウラスver．決戦礼装<br>バシーニ<br>カヤ<br>ラキナ<br>イカサ<br>※ダークファントムverのユニットは含まれません
SK_GS1_ENVYRIA_MARGARET_01_CONCEPT_TXT	エンヴィリア出身ユニットが装備するとPT内のエンヴィリア出身ユニットの能力UP
SK_GS1_ENVYRIA_DARTAGNAN_01_CONCEPT_TXT	特定ユニットが装備するとPT内の特定ユニットの能力UP<br>対象ユニット：<br>ヴェテル<br>クロエ<br>ヴィクター<br>ジェラルド<br>ナタリー<br>ダルタニアン<br>ニーナ<br>レン<br>ジュウベエ<br>セリス<br>※世界樹コラボver、ダークファントムverのクロエは含まれません
SK_WA_01_ENVYRIA_VETTEL_01_CONCEPT_TXT	エンヴィリア出身ユニットもしくはリル＝ウロボロス「大陸の観測者」が使用可能
SK_WA_02_ENVYRIA_VETTEL_01_CONCEPT_TXT	全ユニット使用可能
SK_WA_01_ENVYRIA_CLOE_01_CONCEPT_TXT	エンヴィリア出身ユニットもしくはリル＝ウロボロス「大陸の観測者」が使用可能
SK_WA_02_ENVYRIA_CLOE_01_CONCEPT_TXT	全ユニット使用可能
