AF_ARMS_POK_CASS01_00_EXPR	カシウス
AF_ARMS_POK_RISA01_00_EXPR	リサナウト
AF_ARMS_POK_HERC01_00_EXPR	【デフォルト武具】エレキュール
AF_ARMS_IRENE_00_EXPR	【デフォルト武具】イレーネ
AF_ARMS_SWO_MITHRIL_GREEN_EXPR	能力:物攻アップ、確率で毒効果
AF_ARMS_SWO_MITHRIL_GREEN_FLAVOR	王国に属する鍛冶師が苦心を重ねて仕上<br>げた毒牙の剣。ベーシックな剣に特殊な<br>物質を溶け込ませ加工を施す事で、剣身<br>は深碧色の光輝を纏う。稀に相手を毒状<br>態にさせ、体力を奪い去る。
AF_ARMS_SWO_MITHRIL_YELLOW_EXPR	能力:HP上限・物攻アップ、確率で麻痺効果
AF_ARMS_SWO_MITHRIL_YELLOW_FLAVOR	王国に属する鍛冶師が苦労を重ねて仕上<br>げた電刺の剣。ベーシックな剣に特殊な<br>物質を溶け込ませ加工を施す事で、剣身<br>は黄蘗色の光輝を纏う。稀に相手を麻痺<br>状態にさせ、行動を抑制する。
AF_ARMS_SWO_MITHRIL_GRAY_EXPR	能力:物攻アップ、確率で沈黙効果
AF_ARMS_SWO_MITHRIL_GRAY_FLAVOR	王国に属する鍛冶師が苦悩を重ねて仕上<br>げた不言の剣。ベーシックな剣に特殊な<br>物質を溶け込ませ加工を施す事で、剣身<br>は月白色の光輝を纏う。稀に相手を沈黙<br>状態にさせ、アビリティ技を封じる。
AF_ARMS_SWO_MITHRIL_PINK_EXPR	能力:HP上限・物攻・会心アップ、確率で魅了効果
AF_ARMS_SWO_MITHRIL_PINK_FLAVOR	王国に属する鍛冶師が苦難を重ねて仕上<br>げた魅惑の剣。ベーシックな剣に特殊な<br>物質を溶け込ませ加工を施す事で、剣身<br>は薄紅色の光輝を纏う。稀に相手を魅了<br>状態にさせ、自らの虜にする。
AF_ARMS_ROD_WIZARD_GREEN_EXPR	能力:魔攻アップ、確率で毒効果
AF_ARMS_ROD_WIZARD_GREEN_FLAVOR	見習いを卒業した魔道士が次に持つこと<br>を許される杖の一つ。込められた魔法に<br>呼応し、宝玉は優しげな深緑色に輝く。<br>振るうと稀に毒を撒き散らし、相手の体<br>力を奪い去る。
AF_ARMS_ROD_WIZARD_YELLOW_EXPR	能力:魔攻・最大ジュエルアップ、確率で麻痺効果
AF_ARMS_ROD_WIZARD_YELLOW_FLAVOR	見習いを卒業した魔道士が次に持つこと<br>を許される杖の一つ。込められた魔法に<br>呼応し、宝玉は眩しい黄金色に輝く。振<br>るうと稀に神経麻痺を誘発し、相手の行<br>動を抑制する。
AF_ARMS_ROD_WIZARD_GRAY_EXPR	能力:魔攻アップ、確率で沈黙
AF_ARMS_ROD_WIZARD_GRAY_FLAVOR	見習いを卒業した魔道士が次に持つこと<br>を許される杖の一つ。込められた魔法に<br>呼応し、宝玉は穏やかな乳白色に輝く。<br>振るうと稀に対特殊攻撃用の術式が発動<br>し、相手のアビリティ技を封じる。
AF_ARMS_ROD_WIZARD_PINK_EXPR	能力:魔攻・最大ジュエル・魔防アップ、確率で魅了効果
AF_ARMS_ROD_WIZARD_PINK_FLAVOR	見習いを卒業した魔道士が次に持つこと<br>を許される杖の一つ。込められた魔法に<br>呼応し、宝玉は淡い桜色に輝く。振るう<br>と稀に怪しい香りが辺りに満ち、相手を<br>虜にする。
AF_ARMO_ROBE1_EXPR	能力:魔防・沈黙耐性アップ
AF_ARMO_ROBE1_FLAVOR	初級者用にも関わらず多くの魔道士たち<br>に愛されているローブ。簡易的な魔道封<br>じの対策が施されており、上級魔道士に<br>なってもこのローブだけは手放さないと<br>言う者もいるらしい。
AF_ARMO_ROBE2_EXPR	能力:物防・魔防・麻痺耐性アップ
AF_ARMO_ROBE2_FLAVOR	魔道士の中でも、重苦しいローブを嫌う<br>者たちが好んで着用するマント。非常に<br>軽くシンプルなつくりにもかかわらず、<br>防御力は相当な物。神経麻痺を中和する<br>魔法も施されている。
AF_ARMO_ROBE3_EXPR	能力:HP上限・魔防・運アップ、★5進化時にマスターアビリティ『フォースエレメンツ』使用可能(1ターン自身を中心とした範囲内の味方の火・水・風・雷属性耐性大幅アップ[範囲:菱形2マス,高低差:2])
AF_ARMO_ROBE3_FLAVOR	伝説として伝わる大魔法使いが着用して<br>いたものと同じ素材で作られたローブ。<br>魔法防御力が高く、装備し呪文を唱える<br>と魔法攻撃ダメージを100%カットするこ<br>ともできると言われている。
AF_ARMO_ARMOR_EXPR	能力:HP上限・物防・魅了耐性アップ
AF_ARMO_ARMOR_FLAVOR	洞窟の奥底にて発掘された深紅の鎧。見<br>た目は古びているが、現代の防具と比べ<br>ても見劣りしない性能。長い間地中深く<br>に埋もれていた事で独特の魅力を醸しだ<br>しており、通には人気がある。
AF_ARMO_LEGGUARDS_EXPR	能力:物防・移動禁止耐性アップ
AF_ARMO_LEGGUARDS_FLAVOR	サガ地方から伝来したグリーブ。黄金色<br>の豪奢な装飾とは裏腹に、非常に軽い素<br>材で作られている。動きやすさに特化す<br>ることで、束縛攻撃をすり抜ける機敏さ<br>を確保できる。
AF_ARMO_GAUNTLET_EXPR	能力:物攻・物防・攻撃禁止耐性アップ
AF_ARMO_GAUNTLET_FLAVOR	純銀と真紅で彩られた美しいグローブ。<br>粗のない精巧な作りと浪漫を感じるデザ<br>インが、冒険に華を添える。磨き上げら<br>れた輝きは身につけた者の心を奮い立た<br>せ、恐れなく戦うことが出来る。
AF_ARMO_SHIELD_EXPR	能力:物防・毒耐性アップ
AF_ARMO_SHIELD_FLAVOR	自国への忠誠を誓い、正式に騎士団へ入<br>団した者へ送られる盾。刻まれた紋章は<br>誇りであり、護るべき国そのもの。白兵<br>戦はもちろん、魔道士の攻撃や毒をも防<br>ぐ。
AF_ACCS_EARRING_EXPR	能力:HP上限・全状態異常耐性アップ
AF_ACCS_EARRING_FLAVOR	鮮やかなブルーの宝石をあしらったイヤ<br>リング。着用者に安らぎと勇敢な心を与<br>えると言われ、冒険者への贈り物として<br>人気がある。心身に安定がもたらされる<br>ことで得られる恩恵は大きいと評判。
AF_ACCS_DOLL_EXPR	能力:HP上限・運・獲得ジュエル・全属性耐性アップ
AF_ACCS_DOLL_FLAVOR	ある王家に代々受け継がれてきたといわ<br>れるクマのぬいぐるみ。至る所にある継<br>ぎ接ぎは一見不格好だが愛くるしい。長<br>年に渡り込められ続けた想いは奇跡を生<br>み、所有者に数多の恩恵を授ける。
AF_ACCS_CLOAK_EXPR	能力:器用さ・素早さ・回避率アップ
AF_ACCS_CLOAK_FLAVOR	砂漠地帯を活動拠点とする傭兵たちに愛<br>用されるスカーフ。暗闇に目立たず、素<br>早く行動する事ができる優れ物。銀色の<br>エンブレムが輝きを増した時には、体は<br>さらに軽くなるという。
AF_ACCS_BRACELET_EXPR	能力:魔攻・会心アップ
AF_ACCS_BRACELET_FLAVOR	凶悪な毒を有した蠍を模した腕輪。攻撃<br>的な意匠ゆえ、ならず者に好まれるが、<br>護身用に身につける女性も多い。蠍のご<br>とく研ぎ澄まされた一撃を繰り出す集中<br>力を呼び起こす。
