001	ネヴィル、カイザル、ブラド…
002	ラーストリスの柱、<br>“ラース三傑”と呼ばれ<br>他国の戦士たちに恐れられていた彼らは…
003	――どこか様子がおかしかった
004	――4月1日の1週間前
005	なあ、そろそろ俺ら<br>実装されてもいいよな	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0001
006	あー、確かに、まさか鬼掃隊“刃狐”の奴らに<br>抜かれるとは思わなかったよな	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0001
007	もしかしてこのまま<br>実装されないなんてことないよな？	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0001
008	おいおい、縁起の悪いこと言うなよ、<br>大丈夫だって	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0002
009	今のところメインストーリーに<br>出てきてる奴らは<br>ほとんど実装されてるから	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0003
010	そうか、そうだよな<br>リザードマンですら実装されてるからな	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0002
011	俺たちがリザードマン以下は絶対ないから、<br>『満を持して』ってやつだよ、<br>ほら、タイミング待ってるだけだよ	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0004
012	きっと最高のタイミングで<br>俺たちが出る真理念装が<br>実装されるって	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0005
013	あれ？<br>でも真理念装から出てくるのって<br>生きてるキャラだよね？	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0003
014	あ、そうか、俺たち死んでるの忘れてた<br>ハッハッハッハ<br>じゃあ普通にガチャだな	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0006
015	ガチャか～、じゃあ3人のうち<br>誰か1体、確定ガチャとかあるのかな？<br>ワクワクするな〜	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0004
016	あるでしょう、多分<br>それどころかワンチャン誰か1体<br>選べるチケットとか来そうだけどな、な！	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0007
017	え！<br>確実に1体はゲットできる的な？<br>それヤバイね	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0005
018	最近のタガタメなら<br>そんくらいありそうだけどな<br>ほら、調子良さそうじゃん	EQ_APRILFOOL2021_01_a_2d.caesar_2021april_0008
019	それあったら、マジでアツいな	EQ_APRILFOOL2021_01_a_2d.vlad_2021april_0006
020	それもこれも実装されたらの話な	EQ_APRILFOOL2021_01_a_2d.neville_2021april_0002
