001	…………
002	ディオス!?　どうしたんだ？	QE05_5_3_03_b_3d.logi_story0505_0002
003	…先に行け	QE05_5_3_03_b_3d.dios_story0505_0001
004	え？	QE05_5_3_03_b_3d.logi_story0505_0003
005	ジャムどもの増殖が予想よりも早い<br>誰かがここで、<br>奴らを食い止める必要がある	QE05_5_3_03_b_3d.dios_story0505_0002
006	ディオス…	QE05_5_3_03_b_3d.logi_story0505_0004
007	もともと、俺は巻き込まれただけだ<br>…お前が見届けろ	QE05_5_3_03_b_3d.dios_story0505_0003
008	…いや	QE05_5_3_03_b_3d.logi_story0505_0005
009	俺も、残るよ<br>あのジャムの量は、<br>いくら聖教騎士団でも手に余る	QE05_5_3_03_b_3d.logi_story0505_0006
010	蒼の団、反転！<br>ここで彼らの帰る道を守る！	QE05_5_3_03_b_3d.logi_story0505_0007
011	ハッ！　我ら、蒼炎の意志に賭けて！	QE05_5_3_03_b_3d.aonodanheishi_story0505_0001
012	…ふん、足手まといにはなるなよ！	QE05_5_3_03_b_3d.dios_story0505_0004
013	どっちが…！	QE05_5_3_03_b_3d.logi_story0505_0008
