QE_TM_POT_LIM_LV1	ステージ効果：物攻マイナス補正、魔攻プラス補正
QE_TM_POT_LIM_LV2	ステージ効果：物攻マイナス補正、魔攻プラス補正
QE_TM_POT_LIM_LV3	ステージ効果：物攻マイナス補正、魔攻プラス補正
QE_EV_FF15_3	ダメージ制限:200
QE_EV_FF15_EX_1	ヒント:マンドラゴラには「あたり」がある
QE_EV_FF15_EX_2	ヒント:魔導兵を倒すと…
QE_EV_FF15_EX_3	ヒント：(1)手負いのサボテンに注意!! (2)ムシのリーダーを倒すと…!?
QE_EV_FF15_EX_5	ヒント：ラットンに注意!! いたずらされると敵全体が強くなってしまうぞ!! 強くなる前に対処していこう!
QE_EV_FF15_EX_SP_5	ヒント：ラットンに注意!! いたずらされると敵全体が強くなってしまうぞ!! 強くなる前に対処していこう!
QE_EV_RADIANT_5	毒ガスや催眠ガスのトラップがあるぞ！気をつけろ！！
QE_EV_RADIANT_HA	ヒント：手動操作推奨。急ぎ、炭鉱を走るレイニー。崩れゆく炭鉱内を突破してジュエルの位置へ脱出せよ！
QE_EV_180CP	ヒント：敵を倒すとブロックが…
QE_EV_RADIANT_EX_1	ヒント:マップ上の敵にはすべての攻撃耐性がかかっているようだ。何かをきっかけに「守りを壊す花」が攻撃耐性を弱めてくれそうだが…
QE_EV_RADIANT_EX_3	ヒント:敵ホーリーナイトのリアクションアビリティはHP減少に応じて威力がアップする。思わぬダメージを受けぬよう注意が必要だぞ。
QE_SO_MILIS_EX	ヒント：打撃、刺突、ジャンプ有利
QE_SO_CELLIERS_EX_1	ヒント:重ね掛けバフで強力になったカイザーに真正面から戦うのは避けたいところ。「バフ」をなんとか出来れば…!?
QE_SO_CELLIERS_EX_2	ヒント:重ね掛けバフで強力になったカイザーに真正面から戦うのは避けたいところ。「バフ」をなんとか出来れば…!?
QE_SO_CELLIERS_EX_3	ヒント:重ね掛けバフで強力になったカイザーに真正面から戦	うのは避けたいところ。「バフ」をなんとか出来れば…!?
QE_SO_CELLIERS_EX_SP_1	ヒント:重ね掛けバフで強力になったカイザーに真正面から戦うのは避けたいところ。「バフ」をなんとか出来れば…!?
QE_SO_CELLIERS_EX_SP_2	ヒント:重ね掛けバフで強力になったカイザーに真正面から戦うのは避けたいところ。「バフ」をなんとか出来れば…!?
QE_SO_CELLIERS_EX_SP_3	ヒント:重ね掛けバフで強力になったカイザーに真正面から戦うのは避けたいところ。「バフ」をなんとか出来れば…!?
QE_EV_RADIANT_EX_SP	ヒント:マナの鉱脈を利用しよう!
QE_EV_SEISEKI_DJ_9_09	ヒント：(1)宝箱付近に向かおう！ (2)使い魔は戦わずして…！？ (3)ズィーヴァが動き出す前がチャンス！
QE_WA_SEISEKI_KAYA_EX_1	ヒント：敵の封印解除バナはジャンプする賢者を倒すまで倒せないぞ。賢者には物理攻撃が当たらないので魔法攻撃で倒そう！

QE_EV_3TITLE_EX3	ヒント:なるべく「運」が高いユニットを連れて行こう！ラットンは自分の運と相手の運を比較参照したスキルで攻撃してくるぞ！ 推奨：運300程度（ラットンの運の２倍が目安）

QE_EV_NICO2_FUKUDA_01	オートバトル不可、アイテム使用不可、連携なし<br>※クエストミッションの幻晶石と渡り鳥のスカーフは達成時にギフトへ送られます
QE_EV_UNDOUKAI_2017_SPEED	ライバルラットンが審判に到達する前に、仲間とバトンを繋いで審判を倒そう
QE_EV_UNDOUKAI_2017_MAGIC	ヒント：ジュエルリジェネがかかる隠しポイントがあるぞ！
QE_EV_UNDOUKAI_2017_DEF	ヒント：<br>(1)「ゴ族の護石」は色によって反撃してくる攻撃属性が違うぞ！<br>(2)物防3倍パネルは敵味方共に使用可能！場所取りが鍵となるぞ！
QE_EV_UNDOUKAI_2017_ATTACK	(1)審判魔人を攻撃してしまうと全体攻撃を受けてしまうぞ！<br>(2)最後のクイズは3問のなかからランダムで1問出題されるぞ！<br>(3)中央の魔人はそのままでは物防UPパネルがあるので倒せないぞ！<br>どこかの壁を攻撃すると…!?
QE_EV_HAGOITA_2018	※「2人以内のパーティでクリア」にはNPCのベルタも含まれます。<br>攻略のヒント：武具『ハゴイーター』のWA「敗者への墨塗り」を使えば、エイザンのリアクションも怖くないぞ！てまりラットンをゴールに入れて「戌の欠片」をたくさんGETしよう！

QE_EV_UNDOUKAI_2022_01	このクエストでは『物攻・魔攻・器用さ』が大幅にダウンしている。<br>『観客ラットン』は自身のHPが少ない場合のみ発動するリアクションアビリティで対応したパラメータを貸してくれるぞ。<br>『審査バナ』は回避率が非常に高いが器用さをアップするリアクションアビリティを使用する。
QE_EV_UNDOUKAI_2022_02	『1300ポイントオーバーラットン』は、クエスト終了時までに『ゴールダコ』のHPを1300以上にしていれば、『判定ラットン』が撃破してくれる。
QE_EV_UNDOUKAI_2022_03	このクエストでは全攻撃が大幅にダウンしているが『応援太鼓クリスタル』を菱形2マス以内から攻撃した場合にリアクションアビリティで1回攻撃するまで『石像』へ多くのダメージが与えられる状態にしてくれるぞ。


QE_SO_DARTAGNAN_EX_SP	ダルタニアン、メギストスの出身国ユニットが出撃すると、マップ上でステータスがアップする…!?

