JB_BGM_0003_TITLE	分別なき欲望
JB_BGM_0003_TITLE_EN	Blind Desire
JB_BGM_0003_COMPOSER	下村陽子
JB_BGM_0003_SITUATION	1章　帝国　メインテーマ
JB_BGM_0011_TITLE	正義の在り処
JB_BGM_0011_TITLE_EN	Where Justice Lies
JB_BGM_0011_COMPOSER	下村陽子
JB_BGM_0011_SITUATION	1章　騎士団の国
JB_BGM_0013_TITLE	其は革命の礎　～遠き理想郷～
JB_BGM_0013_TITLE_EN	Cornerstone of the Revolution -Far off Utopia-
JB_BGM_0013_COMPOSER	下村陽子
JB_BGM_0013_SITUATION	1章　帝国
JB_BGM_9995_TITLE	其は革命の礎
JB_BGM_9995_TITLE_EN	Cornerstone of the Revolution
JB_BGM_9995_COMPOSER	下村陽子
JB_BGM_9995_SITUATION	1章　帝国
JB_BGM_0025_TITLE	宿命
JB_BGM_0025_TITLE_EN	Destiny
JB_BGM_0025_COMPOSER	下村陽子
JB_BGM_0025_SITUATION	ボスステージバトルBGM
JB_BGM_0027_TITLE	歩みは慈愛と誇りに満ちて
JB_BGM_0027_TITLE_EN	Walk with Love and Glory
JB_BGM_0027_COMPOSER	下村陽子
JB_BGM_0027_SITUATION	1章　ロギのメインテーマ
JB_BGM_0028_TITLE	寛容、されど心には燃ゆる炎を
JB_BGM_0028_TITLE_EN	Mercy from a Wrathful Soul
JB_BGM_0028_COMPOSER	下村陽子
JB_BGM_0028_SITUATION	1章　ディオスのメインテーマ
JB_BGM_0015_TITLE	文明に煙る都市
JB_BGM_0015_TITLE_EN	Smoking Metropolis
JB_BGM_0015_COMPOSER	下村陽子
JB_BGM_0015_SITUATION	2章　機械の国
JB_BGM_0029_TITLE	勤勉なる歯車の調べ
JB_BGM_0029_TITLE_EN	Melody of Unrelenting Gears
JB_BGM_0029_COMPOSER	下村陽子
JB_BGM_0029_SITUATION	2章　エドガーのメインテーマ・マグヌスのバーストギャンブルBGM
JB_BGM_0019_TITLE	子ども騙しの童話
JB_BGM_0019_TITLE_EN	Deceptive Fairy Tales
JB_BGM_0019_COMPOSER	下村陽子
JB_BGM_0019_SITUATION	3章　魔法の国
JB_BGM_0031_TITLE	褪せることなき純潔の思い出
JB_BGM_0031_TITLE_EN	Unfading Memories of Innocence
JB_BGM_0031_COMPOSER	下村陽子
JB_BGM_0031_SITUATION	3章　リズのメインテーマ
JB_BGM_0109_TITLE	童話は真実の物語に
JB_BGM_0109_TITLE_EN	When Fairy Tales Come True
JB_BGM_0109_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0109_SITUATION	3章4話　上空バトル用BGM
JB_BGM_0021_TITLE	伝承に謳われし大地
JB_BGM_0021_TITLE_EN	Land of Legends
JB_BGM_0021_COMPOSER	下村陽子
JB_BGM_0021_SITUATION	4章　草原の国
JB_BGM_0032_TITLE	風を見つめ、大地と共に
JB_BGM_0032_TITLE_EN	Staring at the Wind
JB_BGM_0032_COMPOSER	下村陽子
JB_BGM_0032_SITUATION	4章　ティナのメインテーマ
JB_BGM_0113_TITLE	いま再び、古に挑む
JB_BGM_0113_TITLE_EN	Chase the Ancient
JB_BGM_0113_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0113_SITUATION	4章4話　古代竜の背中バトルBGM
JB_BGM_0114_TITLE	伝承に秘匿された真実
JB_BGM_0114_TITLE_EN	Lore in sealed the Truth
JB_BGM_0114_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0114_SITUATION	4章4話　古代竜の内部バトルBGM
JB_BGM_0017_TITLE	あらゆるを焦がす火輪
JB_BGM_0017_TITLE_EN	Ring of Fire
JB_BGM_0017_COMPOSER	下村陽子
JB_BGM_0017_SITUATION	5章　砂漠の国
JB_BGM_0030_TITLE	懐慕は砂上に揺らめく
JB_BGM_0030_TITLE_EN	Yearning on the Desert Sands
JB_BGM_0030_COMPOSER	下村陽子
JB_BGM_0030_SITUATION	5章　カムイのメインテーマ
JB_BGM_0127_TITLE	流れ行く光が雫
JB_BGM_0127_TITLE_EN	Bright Brave
JB_BGM_0127_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0127_SITUATION	5章1話　セフィラの村バトルBGM
JB_BGM_0128_TITLE	祀りし至高への願い
JB_BGM_0128_TITLE_EN	Ain't No God
JB_BGM_0128_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0128_SITUATION	5章1話　セフィラの祭壇バトルBGM
JB_BGM_0136_TITLE	その地、穢れに沈みて
JB_BGM_0136_TITLE_EN	Defilement Foreground
JB_BGM_0136_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0136_SITUATION	5章3話　セフィラの村（廃墟）バトルBGM
JB_BGM_0023_TITLE	海底に眠る神のように
JB_BGM_0023_TITLE_EN	Where the Sea God Sleeps
JB_BGM_0023_COMPOSER	下村陽子
JB_BGM_0023_SITUATION	6章　倭国
JB_BGM_0033_TITLE	優しく無邪気なわらべ歌
JB_BGM_0033_TITLE_EN	Tender Nursery Rhymes
JB_BGM_0033_COMPOSER	下村陽子
JB_BGM_0033_SITUATION	6章　アマネのメインテーマ
JB_BGM_0047_TITLE	幕明告ぐ拍子木
JB_BGM_0047_TITLE_EN	Drawn Sword
JB_BGM_0047_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0047_SITUATION	6章1話　冒頭殺陣シーン　前半　抜刀
JB_BGM_0048_TITLE	外連、大立廻り
JB_BGM_0048_TITLE_EN	Rough-and-Tumble
JB_BGM_0048_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0048_SITUATION	6章1話　冒頭殺陣シーン　後半　一閃
JB_BGM_0026_TITLE	天運
JB_BGM_0026_TITLE_EN	Fate
JB_BGM_0026_COMPOSER	下村陽子
JB_BGM_0026_SITUATION	ボスステージバトルBGM
JB_BGM_0014_TITLE	鍔際のジレンマ
JB_BGM_0014_TITLE_EN	Dilemma on the Brink
JB_BGM_0014_COMPOSER	下村陽子
JB_BGM_0014_SITUATION	7章　メインテーマ
JB_BGM_0016_TITLE	正義のパラドックス
JB_BGM_0016_TITLE_EN	The Paradox of Justice
JB_BGM_0016_COMPOSER	下村陽子
JB_BGM_0016_SITUATION	7章　クエスト
JB_BGM_0018_TITLE	君ガ望みし、選択を
JB_BGM_0018_TITLE_EN	Your Wish Into the Choice
JB_BGM_0018_COMPOSER	下村陽子
JB_BGM_0018_SITUATION	8章　メインテーマ
JB_BGM_0020_TITLE	不可逆の正義
JB_BGM_0020_TITLE_EN	Non-Negotiable Justice
JB_BGM_0020_COMPOSER	下村陽子
JB_BGM_0020_SITUATION	8章　クエスト
JB_BGM_0148_TITLE	人々の意志が紡ぐもの
JB_BGM_0148_TITLE_EN	That Which is Woven by the Will of Them
JB_BGM_0148_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0148_SITUATION	最終章　メインテーマ
JB_BGM_0149_TITLE	未来を夢見て塔は微睡む
JB_BGM_0149_TITLE_EN	The Tower Slumbers, Dreaming of the Future
JB_BGM_0149_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0149_SITUATION	最終章　バベルの塔内部BGM
JB_BGM_0150_TITLE	神々の遺志に惑うとも
JB_BGM_0150_TITLE_EN	Though Bewildered by the Gods' Legacy
JB_BGM_0150_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0150_SITUATION	最終章　クエスト
JB_BGM_0102_TITLE	『光の届かない海底街』
JB_BGM_0102_TITLE_EN	The Lost Blue
JB_BGM_0102_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0102_SITUATION	十戒衆のテーマ・異層塔ヴェーダ　TOP画面BGM　
JB_BGM_0103_TITLE	天へ、到達への願い
JB_BGM_0103_TITLE_EN	Heavenward Desire
JB_BGM_0103_COMPOSER	林茂樹
JB_BGM_0103_SITUATION	異層塔ヴェーダ　通常バトルBGM
JB_BGM_0104_TITLE	歩み、止めることなかれ
JB_BGM_0104_TITLE_EN	Perilous Climb
JB_BGM_0104_COMPOSER	林茂樹
JB_BGM_0104_SITUATION	異層塔ヴェーダ　ボスバトルBGM
JB_BGM_0131_TITLE	境界へ、高みへの願い
JB_BGM_0131_TITLE_EN	Borderless Hope
JB_BGM_0131_COMPOSER	櫻木咲子
JB_BGM_0131_SITUATION	異層塔ヴェーダ境戒次元　通常バトルBGM（高層階101階 ～
JB_BGM_0132_TITLE	迷い、振り返ることなかれ
JB_BGM_0132_TITLE_EN	Leave the Fear Behind
JB_BGM_0132_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0132_SITUATION	異層塔ヴェーダ境戒次元　ボスバトルBGM（高層階101階 ～
JB_BGM_0159_TITLE	己が信念に至るまでの道
JB_BGM_0159_TITLE_EN	Road to Belief
JB_BGM_0159_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0159_SITUATION	十戒衆イベント　ソルのテーマ
JB_BGM_0160_TITLE	ロストブルーの太陽
JB_BGM_0160_TITLE_EN	The Sun of Lost Blue
JB_BGM_0160_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0160_SITUATION	十戒衆イベント　ソルのテーマ
JB_BGM_0500_TITLE	守護の盾とならんが為に
JB_BGM_0500_TITLE_EN	Absolute Justice-Shield-
JB_BGM_0500_COMPOSER	土屋昇平
JB_BGM_0500_SITUATION	聖石の追憶　通常バトルBGM
JB_BGM_0501_TITLE	悪討つ剣となりて
JB_BGM_0501_TITLE_EN	Absolute Justice-Sword-
JB_BGM_0501_COMPOSER	土屋昇平
JB_BGM_0501_SITUATION	聖石の追憶　ボスバトルBGM
JB_BGM_0111_TITLE	緋色に燃ゆる鋼
JB_BGM_0111_TITLE_EN	The Order of Scarlet Chivalry
JB_BGM_0111_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0111_SITUATION	バベル戦記『鋼鉄の炎、その緋色』テーマBGM
JB_BGM_0112_TITLE	背負いし鋼の意志
JB_BGM_0112_TITLE_EN	The Chivalry
JB_BGM_0112_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0112_SITUATION	バベル戦記『鋼鉄の炎、その緋色』テーマBGM
JB_BGM_0118_TITLE	救世主は漆黒の御名
JB_BGM_0118_TITLE_EN	Shadow Messiah
JB_BGM_0118_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0118_SITUATION	バベル戦記『漆黒の血脈は、煌々と』テーマBGM
JB_BGM_0119_TITLE	黄泉の淵で誓いて
JB_BGM_0119_TITLE_EN	Swear in the Underworld
JB_BGM_0119_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0119_SITUATION	バベル戦記『漆黒の血脈は、煌々と』テーマBGM
JB_BGM_0123_TITLE	砂上に満ちる祈り
JB_BGM_0123_TITLE_EN	Prayer on the Sand
JB_BGM_0123_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0123_SITUATION	バベル戦記『祈りの緑、渇きの大地』テーマBGM
JB_BGM_0124_TITLE	砂上遊戯
JB_BGM_0124_TITLE_EN	The End on the Sand
JB_BGM_0124_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0124_SITUATION	バベル戦記『祈りの緑、渇きの大地』テーマBGM
JB_BGM_0129_TITLE	夜闇に咲く花
JB_BGM_0129_TITLE_EN	Timeless Flower
JB_BGM_0129_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0129_SITUATION	バベル戦記『亡国の乱、時代の岐路に咲く』テーマBGM
JB_BGM_0130_TITLE	地底で目覚めし修羅のように
JB_BGM_0130_TITLE_EN	Where the Demons Awake
JB_BGM_0130_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0130_SITUATION	バベル戦記『亡国の乱、時代の岐路に咲く』テーマBGM
JB_BGM_0140_TITLE	時計仕掛けの鐘は、郷愁の音色で
JB_BGM_0140_TITLE_EN	The Bell of a Clockwork Rings Nostalgia Tone
JB_BGM_0140_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0140_SITUATION	バベル戦記『時計仕掛けカンパネラ』『雪原ノスタルジア』テーマBGM
JB_BGM_0141_TITLE	サバイブデザイア
JB_BGM_0141_TITLE_EN	Survive Desire
JB_BGM_0141_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0141_SITUATION	バベル戦記『時計仕掛けカンパネラ』『雪原ノスタルジア』バトルBGM
JB_BGM_0043_TITLE	耳打つ寂寥
JB_BGM_0043_TITLE_EN	Gravity of Silence
JB_BGM_0043_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0043_SITUATION	神ガ選ばぬ、革命を　会話BGM
JB_BGM_0044_TITLE	厄災の隣人
JB_BGM_0044_TITLE_EN	Ordinaly Behind Calamity
JB_BGM_0044_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0044_SITUATION	神ガ選ばぬ、革命を　会話BGM
JB_BGM_0144_TITLE	神ガ選ばぬ、革命を
JB_BGM_0144_TITLE_EN	The Revolution that God won't Bless
JB_BGM_0144_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0144_SITUATION	神ガ選ばぬ、革命を　1章『創る、この世界を』テーマBGM
JB_BGM_0145_TITLE	暴食罪域＜グラ・ベルト＞
JB_BGM_0145_TITLE_EN	Gula Belt
JB_BGM_0145_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0145_SITUATION	神ガ選ばぬ、革命を　1章『創る、この世界を』TOP画面・クエストマップBGM
JB_BGM_0146_TITLE	罪を雪ぐ為に
JB_BGM_0146_TITLE_EN	Atone the Sin
JB_BGM_0146_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0146_SITUATION	神ガ選ばぬ、革命を　1章『創る、この世界を』通常バトルBGM
JB_BGM_0147_TITLE	神なる狼、解き放たれて
JB_BGM_0147_TITLE_EN	A Wolf Named God, Be Let Loose
JB_BGM_0147_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0147_SITUATION	神ガ選ばぬ、革命を　1章『創る、この世界を』ボスバトルBGM
JB_BGM_0153_TITLE	色欲罪域＜ルクスリア・ベルト＞
JB_BGM_0153_TITLE_EN	Luxuria Belt
JB_BGM_0153_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0153_SITUATION	神ガ選ばぬ、革命を　2章『恋と、色欲の偏差』テーマBGM
