CARD_001_FLAVOR	俺もああなりたいなあ
CARD_002_FLAVOR	ホーリーナイトにはなれないけど、聖騎士のランベルが装着すると少し強くなる。
CARD_003_FLAVOR	ロードナイツの何か。<br>カノンかカダノバが装備すると特殊な効果を発揮する。
CARD_004_FLAVOR	エンヴィリア緋炎騎士団の徽章。<br>装着すると温かい気持ちになる。
CARD_005_FLAVOR	林檎の記憶。<br>強化に使用すると、ほんのりEXPを獲得する事が出来る。
CARD_006_FLAVOR	なにかの念装の記憶。<br>強化に使用すると、ほんのりトラスト値を獲得する事が出来る。
CARD_007_FLAVOR	強化に使用するとEXPをすごく獲得できる
CARD_008_FLAVOR	強化に使用するとトラスト値をすごく獲得できる
CARD_009_FLAVOR	サポアビ「スカイハイ」を習得する
CARD_010_FLAVOR	サポアビ「クレバーチャージ」を習得する
CARD_011_FLAVOR	サポアビ「火属性特効アップ」を習得する
CARD_012_FLAVOR	サポアビ「念動加速」を習得する
CARD_013_FLAVOR	ウェポンアビリティ「コロナバースト」を習得する
CARD_014_FLAVOR	女性が装備すると男性のみ物攻アップ
CARD_015_FLAVOR	男性が装備すると女性のみ魔攻アップ
CARD_016_FLAVOR	闇属性が装備すると光属性のみ物防アップ、クダンが装備するとスキン開放
CARD_017_FLAVOR	暗黒騎士やダークナイトが装備するとサガ地方のみHPアップ
CARD_018_FLAVOR	エンヴィリア出身が装備するとホーリーナイトのみ素早さアップ、ジークが装備するとスキン開放
CARD_019_FLAVOR	緋炎騎士団Bグループのクリティカル率アップ
CARD_020_FLAVOR	ランベル、カノン、メリア×聖騎士、魔道士、戦士、賢者、忍者、マーシャルの組み合わせで様々な効果発動
CARD_021_FLAVOR	ランベル、カノン、メリア×聖騎士、魔道士、戦士、賢者、忍者、マーシャルの組み合わせで様々な効果発動
TS_ENVYRIA_VETTEL_01_FLAVOR	互いの武具が鋭くぶつかり合い、金属音をかき鳴らす。千本の素振りの後でも、ヴェテル団長の剣は熱く、ジェラルド副団長の槍はまっすぐだった。<br><br>「はいそこ、何時間もやりあっていたら疲れるの当たり前よー!?　休んでよ？」<br><br>呆れとも励ましともとれる声が飛ぶ。幼少期からこんな修行を重ねて来たのだから、強いわけだと納得したものだった。<br>（緋炎騎士団団員ジルの武勇伝より）
TS_ENVYRIA_CLOE_01_FLAVOR	戦場なら死んでいる。全身で感じる冷たい床、突きつけられた刃。油断はなかった。愛用の剣と鎧に籠めた常に全力で戦うという誓いに背いてはいない。ただ、目の前の男の人がより強かっただけ。<br>私を倒したその男は、もう興味がないと言わんばかりに殺気すら解いていた。<br><br>「次は…負けません」<br><br>――痛烈なまでの、敗北の記憶だった。<br>（クロエ『エンヴィリア戦記』第二章）
TS_ENVYRIA_FAIRLILY_01_FLAVOR	草花と心を通わせると噂の少女がいる緑の楽園。世界有数の規模を誇る花屋であり、植物園が広がっている。<br><br>「ようこそ～♪　きみが欲しいのは、お花？　それとも元気バナ～？」<br><br>花を求める客だけでなく、癒しを求める人間も、具合の悪い植物たちも大歓迎。すべての生き物の心を和ませてくれる。<br>（マイルズ・オールコック『エンヴィリア街歩き』ボタニカルガーデン編）
