MAIL_LOGIN_REWARD	Login Bonus
MAIL_DAY_1_PRESENT	Login Bonus Day 1
MAIL_DAY_2_PRESENT	Login Bonus Day 2
MAIL_DAY_3_PRESENT	Login Bonus Day 3
MAIL_DAY_4_PRESENT	Login Bonus Day 4
MAIL_DAY_5_PRESENT	Login Bonus Day 5
MAIL_DAY_6_PRESENT	Login Bonus Day 6
MAIL_DAY_7_PRESENT	Login Bonus Day 7
MAIL_SHOP_PURCHASED	Item purchased from a shop
MAIL_FIRST_MEETING_BONUS_1	[Multiplay] First Meeting Bonus [1]
MAIL_FIRST_MEETING_BONUS_2	[Multiplay] First Meeting Bonus [2]
MAIL_FIRST_MEETING_BONUS_3	[Multiplay] First Meeting Bonus [3]
MAIL_FIRST_MEETING_BONUS_4	[Multiplay] First Meeting Bonus [4]
MAIL_FIRST_MEETING_BONUS_5	[Multiplay] First Meeting Bonus [5]
MAIL_FIRST_MEETING_BONUS_6	[Multiplay] First Meeting Bonus [6]
MAIL_FIRST_MEETING_BONUS_7	[Multiplay] First Meeting Bonus [7]
MAIL_FIRST_MEETING_BONUS_8	[Multiplay] First Meeting Bonus [8]
MAIL_FIRST_MEETING_BONUS_9	[Multiplay] First Meeting Bonus [9]
MAIL_FIRST_MEETING_BONUS_10	[Multiplay] First Meeting Bonus [10]
MAIL_COMEBACK_DAY_1	Comeback Login Bonus Day 1
MAIL_COMEBACK_DAY_2	Comeback Login Bonus Day 2
MAIL_COMEBACK_DAY_3	Comeback Login Bonus Day 3
MAIL_COMEBACK_DAY_4	Comeback Login Bonus Day 4
MAIL_COMEBACK_DAY_5	Comeback Login Bonus Day 5
MAIL_COMEBACK_DAY_6	Comeback Login Bonus Day 6
MAIL_COMEBACK_DAY_7	Comeback Login Bonus Day 7
MAIL_SHOP_ARTIFACT_PURCHASED	Purchased gear
MAIL_PREANI_DAY_1	Pre-Anniversary Celebration Login Bonus Day 1
MAIL_PREANI_DAY_2	Pre-Anniversary Celebration Login Bonus Day 2
MAIL_PREANI_DAY_3	Pre-Anniversary Celebration Login Bonus Day 3
MAIL_PREANI_DAY_4	Pre-Anniversary Celebration Login Bonus Day 4
MAIL_PREANI_DAY_5	Pre-Anniversary Celebration Login Bonus Day 5
MAIL_PREANI_DAY_6	Pre-Anniversary Celebration Login Bonus Day 6
MAIL_PREANI_DAY_7	Pre-Anniversary Celebration Login Bonus Day 7
MAIL_7MILLION_DAY_1	7 Million Downloads Worldwide Login Bonus Day 1
MAIL_7MILLION_DAY_2	7 Million Downloads Worldwide Login Bonus Day 2
MAIL_7MILLION_DAY_3	7 Million Downloads Worldwide Login Bonus Day 3
MAIL_7MILLION_DAY_4	7 Million Downloads Worldwide Login Bonus Day 4
MAIL_7MILLION_DAY_5	7 Million Downloads Worldwide Login Bonus Day 5
MAIL_7MILLION_DAY_6	7 Million Downloads Worldwide Login Bonus Day 6
MAIL_7MILLION_DAY_7	7 Million Downloads Worldwide Login Bonus Day 7
MAIL_FMA_DAY_1	[FMA] Login Bonus Day 1
MAIL_FMA_DAY_2	[FMA] Login Bonus Day 2
MAIL_FMA_DAY_3	[FMA] Login Bonus Day 3
MAIL_FMA_DAY_4	[FMA] Login Bonus Day 4
MAIL_FMA_DAY_5	[FMA] Login Bonus Day 5
MAIL_FMA_DAY_6	[FMA] Login Bonus Day 6
MAIL_FMA_DAY_7	[FMA] Login Bonus Day 7
MAIL_1STANNI_SUBSCRIPTION_DAY_1	[1st Anniversary] Subscription - Day 1
MAIL_1STANNI_SUBSCRIPTION_DAY_2	[1st Anniversary] Subscription - Day 2
MAIL_1STANNI_SUBSCRIPTION_DAY_3	[1st Anniversary] Subscription - Day 3
MAIL_1STANNI_SUBSCRIPTION_DAY_4	[1st Anniversary] Subscription - Day 4
