装備なし	No equipment
剣	Sword
大剣	Greatsword
刀	Blade
薙刀	Halberd
短剣	Shortsword
ブライダルソード	Bridal Sword
サーベル	Saber
斧	Axe
ハンマー	Hammer
クナイ	Kunai
双剣	Twin-Blade
ランス	Lance
チャクラム	Chakram
槍	Spear
弓	Bow
銃	Gun
長銃	Rifle
ロケットランチャー	Rocket Launcher
グローブ	Cestus
爪	Claw
杖	Staff
御祓棒	Rod
カード	Card
フラスコ	Flask
弦楽器	Instrument
杖剣	Cane Sword
ガンランス	Gunlance
大砲	Cannon
タクト	Tact
風水盤	Feng Shui Board
手袋	Gloves
オーブ	Orb
その他	Other
グレネードランチャー	Grenade Launcher
カタール	Katar
ライフル	Rifle
大麻	Hemp
ほうき	Broom
無手	Unarmed
台本	Script
メイス	Mallet
ローブ	Robe
鎧	Armor
防具	Armor
具足	Leg Guards
籠手	Gauntlet
盾	Shield
アクセサリー	Accessory
フレイル	Flail
機工	Machinery
双鋭刃	Twin Sharp Blades
