IT_US_FATE_TAIYAKI_EXPR	Casts Quicken status on user for three turns.
IT_US_FATE_TAIYAKI_FLAVOR	A fish-shaped bean jam-filled snack sold at the "Edomae-ya" food stall found in the shopping district. Despite its low price, it's packed with bean jam right to the end of the tail, making it extremely popular among students. The pastry is soft and fluffy, and it's apparently still pretty tasty even when it's cooled down.
IT_US_FATE_SANDWICH_EXPR	Removes all statuses except Death Sentence and slightly recovers HP.
IT_US_FATE_SANDWICH_FLAVOR	A special sandwich made by Rin Tohsaka. She gets up early in the morning to make them, and they're certainly very special, with a delicious flavor that'll satisfy even the most discerning of gourmands.
IT_UG_APPLE_FATE_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_FATE_FLAVOR	This apple is said to be imbued with magical energy. This energy is passed onto the user, and lives on forever inside him or her. The apple has the power to improve the owner's fate, and is extremely rare and valuable.
IT_UG_APPLE_PUNK_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_PUNK_FLAVOR	This apple is said to be imbued with memories of Dulyn's research. These memories are inherited by the user, and live on forever inside him or her. It looks like an apple fairy, but saying this out loud will cause it to become angry and indignant.
IT_UG_APPLE_SHINOBI_EXPR	An apple that raises a unit's Exp (extra-large amount).
IT_UG_APPLE_SHINOBI_FLAVOR	This apple is said to be imbued with memories of the Land of Shinobi. These memories are inherited by the user, and live on forever inside him or her. It's mechanized, and can move autonomously--caution is advised, as if left unattended it may wander off by itself.
IT_US_DIS_ELIXIR_EXPR	Greatly recovers unit's HP & slightly recovers Jewels on next turn
IT_US_DIS_ELIXIR_FLAVOR	This item is renowned in the Netherworlds as one of the most effective healing items available: it is able to instantly recover a demon's stamina and energy. Its scarcity makes it highly valuable, but in one Netherworld it is apparently used in large quantities to make curry...
IT_US_DIS_KAMIWAZA_EXPR	Lowers enemy unit's PATK/MATK and raises own PATK/MATK when attacking (steals stats)
IT_US_DIS_KAMIWAZA_FLAVOR	This glove is thought to be modelled after the hand of a famous Netherworld thief. As its name suggests, its stealing capabilities are truly awesome: it is able to plunder physical and magical attack power from foes and add it to the user's own attack power.
IT_US_FF_CONS_STEW_EXPR	Raises PATK & greatly recovers HP
IT_US_FF_CONS_STEW_FLAVOR	This stew is packed with vegetables and the meat of a ferocious monster. Its seasoning requires careful attention, and it must be constantly stirred in order to stop it from burning, but the end result is well worth it.
IT_US_SQ_RESIST_MIST_EXPR	 
IT_US_SQ_RESIST_MIST_FLAVOR	 
IT_US_FF_STEAK_EXPR	Raises Max HP of the unit (amount of HP gained will be added to your current HP)
IT_US_FF_STEAK_FLAVOR	Ignis, who likes to cook, takes time and care in cooking the prime rib made from the meat of Garulessa. A dish that appetizes with the aroma of garlic and sauce, just one bite can rejuvenate anyone in an instant.
IT_US_AOT_POTATO_EXPR	
IT_US_AOT_POTATO_FLAVOR	
IT_US_TS_STEW_01_EXPR	 
IT_US_TS_STEW_01_FLAVOR	 
IT_US_TS_JEWEL_HEAL_01_EXPR	 
IT_US_TS_JEWEL_HEAL_01_FLAVOR	 
IT_US_POTION_EXPR	Medicine that recovers a unit's HP (small amount).
IT_US_POTION_FLAVOR	This bottle contains an elixir that is said to be able to instantly heal any wound. It is effective on not only humans, but also transmuted Phantoms. Due to its high potency, it is most commonly sold in small bottles of this size.
IT_US_HIGH_POTION_EXPR	Medicine that recovers a unit's HP (medium amount).
IT_US_HIGH_POTION_FLAVOR	This bottle contains an elixir that is said to be able to instantly heal any wound. It is effective on not only humans, but also transmuted Phantoms. This larger-than-average dose is popular with adventurers embarking on lengthy journeys.
IT_US_EXTRA_POTION_EXPR	Medicine that recovers a unit's HP (large amount).
IT_US_EXTRA_POTION_FLAVOR	This bottle contains an elixir that is said to be able to instantly heal any wound. It is effective on not only humans, but also transmuted Phantoms. This large bottle is quite pricey, but when traveling in dangerous areas a dose of this size could well prove to be a lifesaver.
IT_US_PANACEA_EXPR	Medicine that removes all statuses except Death Sentence.
IT_US_PANACEA_FLAVOR	This beautiful, rainbow-colored potion is made from a mix of several different elixirs. It lives up to its name, and is able to simultaneously cure a range of different ailments. Its taste, however, is quite unpalatable. It was first concocted by chance long ago, but its effectiveness means it is still a best seller to this day.
IT_US_POISON_EXPR	Medicine that removes Poison status.
