SECRET_SHOP_01_NAME	Adventurers' Shop
SECRET_SHOP_02_NAME	Beginners' Shop
SECRET_SHOP_03_NAME	Secret Shop
SECRET_SHOP_04_NAME	Enlightenment Celebration Shop
EVENT_SHOP_01_NAME	Winter Holiday Market
EVENT_SHOP_02_NAME	Veda Coin Exchange Shop
EVENT_SHOP_03_NAME	[5 Million Downloads Worldwide!] Coin Exchange Shop
EVENT_SHOP_04_NAME	Global v2.0 Celebration Coin Exchange Shop
EVENT_SHOP_05_NAME	Friendship Coin Exchange Shop
EVENT_SHOP_06_NAME	Lucky Penny Exchange Shop
EVENT_SHOP_07_NAME	Lucky Dime Exchange Shop
EVENT_SHOP_08_NAME	Summer Celebration Coin Exchange Shop
EVENT_SHOP_09_NAME	Summer Sports Meet Coin Exchange Shop
EVENT_SHOP_10_NAME	Item World Event Shop
EVENT_SHOP_11_NAME	September Coin Exchange Shop
EVENT_SHOP_12_NAME	Pumpkin Market
EVENT_SHOP_13_NAME	Enchanted Equipment Exchange Shop
EVENT_SHOP_14_NAME	Enchanted Job Token Exchange Shop
EVENT_SHOP_15_NAME	Summon Coin Exchange Shop
EVENT_SHOP_16_NAME	Spooky Shop
EVENT_SHOP_17_NAME	Halloween Coin Exchange Shop
EVENT_SHOP_18_NAME	[FMA] Event Shop
EVENT_SHOP_19_NAME	Elite Coin Exchange Shop
EVENT_SHOP_20_NAME	Winter Snowflake Exchange Shop
EVENT_SHOP_21_NAME	Winter's Surprise Shop
EVENT_SHOP_22_NAME	PvP Coin Exchange Shop
EVENT_SHOP_23_NAME	Fortune Coin Exchange Shop
EVENT_SHOP_24_NAME	Rose Exchange Shop
EVENT_SHOP_25_NAME	Lunar New Year Surprise Shop
EVENT_SHOP_26_NAME	Valentine Coin Exchange Shop
EVENT_SHOP_27_NAME	Enlightenment Exchange Shop
EVENT_SHOP_28_NAME	Sakura Petal Exchange Shop
EVENT_SHOP_29_NAME	Easter Egg Exchange Shop
EVENT_SHOP_30_NAME	[9 Million Downloads Worldwide!] Coin Exchange Shop
EVENT_SHOP_31_NAME	Tribulation Spirit Exchange Shop
EVENT_SHOP_32_NAME	Blood Pendant Exchange Shop
EVENT_SHOP_33_NAME	Attack on Titan Event Shop
EVENT_SHOP_34_NAME	EX Coin Exchange Shop
EVENT_SHOP_35_NAME	Coconut Exchange Shop
EVENT_SHOP_36_NAME	Lizardman Exchange Shop
EVENT_SHOP_37_NAME	PotK Event Shop
EVENT_SHOP_38_NAME	Teona Point Exchange Shop
EVENT_SHOP_39_NAME	Teddy Bear Exchange Shop
EVENT_SHOP_40_NAME	[10M Downloads!] Coin Exchange Shop
EVENT_SHOP_41_NAME	10M Special Token Exchange Shop
EVENT_SHOP_42_NAME	2nd Anniversary Coin Exchange Shop
EVENT_SHOP_43_NAME	2nd Anniversary Countdown Coin Exchange Shop
