001	Yes, yes, I got it. We're almost at the Gyobu tribe's village where the tanukis are, right? It's gonna be fine, so stay quiet, Kon.
002	Kon!
003	Yes, I got it. You're right, Kon. I'll make sure we don't get any closer.	VO_tamamo.tamamo_chara_1010
004	That being said, my intuition says that there's an interesting smell in this direction. Oh! I can see something fluffy growing from that rock!	VO_tamamo.tamamo_sys_0010
005	Ouch!!!	VO_hayate.hayate_battle_0027
006	Who stomped on my tail! Argh...what brute force...	VO_hayate.hayate_battle_0021
007	Ah! That fluffy thing growing on the rock was a tanuki's tail!	VO_tamamo.tamamo_battle_0022
008	No! I was transforming myself into a rock!	VO_hayate.hayate_sys_0016
009	Yep, yep. Kon was saying that your tail wasn't transformed properly. Are you bad at transforming yourself?	VO_tamamo.tamamo_sys_0045
010	...! That's why I'm training secretly on the outskirts of the village!	VO_hayate.hayate_sys_0029
011	Hey, you're from the Gyobu tribe, right? This is close to the human world. Wouldn't you get in trouble for being here?	VO_tamamo.tamamo_sys_0002
012	Even amongst my tribe, I'm a special tanuki. I'm allowed to interact with humans! The same could be said for you! You're from the fox tribe, right?!	VO_hayate.hayate_sys_0010
013	So you're strong! The Gyobu tribe is big so you must be pretty amazing, huh?!	VO_tamamo.tamamo_sys_0044
014	U-um...are you Lady...Tamamo, from the Kuzunoha tribe?!	VO_hayate.hayate_sys_0047
015	Ahahah! You don't need to call me Lady♪	VO_tamamo.tamamo_sys_0023
016	I've heard that you've already obtained the Nine-Tailed power and you can travel freely between both villages! Everyone is cautious around you!	VO_hayate.hayate_sys_0026
017	Well, you can just call me Tamamo! Hey, what's your name? Let's become friends♪	VO_tamamo.tamamo_sys_0012
018	I'm Hayate. I can't become friends with you. I'm in the middle of training. Excuse me!	VO_hayate.hayate_sys_1047
019	Why are you following me?!	VO_hayate.hayate_sys_0003
020	Because it's fun!	VO_tamamo.tamamo_sys_0007
021	Please, don't bother my training!	VO_hayate.hayate_chara_1001
022	Hayate...you're slow on your feet.	VO_tamamo.tamamo_chara_1011
023	...!!! You're just too fast Lady Tamamo! Please, can you not follow me!	VO_hayate.hayate_battle_0019
024	Huh, Kon? What is it...?	VO_tamamo.tamamo_chara_1009
025	Please, don't ignore me either!	VO_hayate.hayate_sys_0016
026	We're surrounded...by monsters?	VO_tamamo.tamamo_sys_0025
027	...Huh?	VO_hayate.hayate_sys_0025
