BUNDLE_NAME_ENUM_001	Commencement Bundle
BUNDLE_DESC_ENUM_001	★Only available for 7 days!★<br>An exclusive bundle to help you kick-start your adventure!<br>Use [Start Dash] Featured 5★ 50-Soul Shard Selector to select 50 5★ Soul Shards of your choice. (Hazel / Lupinus / Reimei / Vettel / Elizabeth / Fung Liu / Shayna / Shenmei / Aruba / Magnus / Teona / Flamel / Yomi / Ryle / Spica / Suzuka / Anastasia / Aswald / Rosa / Zahar)
BUNDLE_NAME_ENUM_002	Apprentice Bundle
BUNDLE_DESC_ENUM_002	A decent set of essentials for any budding apprentice!
BUNDLE_NAME_ENUM_003	Journeyman Bundle
BUNDLE_DESC_ENUM_003	A generous box of supplies for any seasoned journeyman!
BUNDLE_NAME_ENUM_004	Ouroboros's Hoard
BUNDLE_DESC_ENUM_004	A valuable set of items and Gems
BUNDLE_NAME_ENUM_005	Master Bundle
BUNDLE_DESC_ENUM_005	An incredible crate of treasures for any renowned master!
BUNDLE_NAME_ENUM_006	Ouroboros's Crate
BUNDLE_DESC_ENUM_006	A valuable set of items and Gems
BUNDLE_NAME_ENUM_007	Ouroboros's Keepsake
BUNDLE_DESC_ENUM_007	A valuable set of items and Gems
BUNDLE_NAME_ENUM_008	Ouroboros's Cache
BUNDLE_DESC_ENUM_008	A valuable set of items and Gems
BUNDLE_NAME_ENUM_009	Ouroboros's Chest
BUNDLE_DESC_ENUM_009	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0010	Ouroboros's Vault
BUNDLE_DESC_ENUM_0010	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0011	Ouroboros's Treasure
BUNDLE_DESC_ENUM_0011	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0012	Ouroboros's Trinket
BUNDLE_DESC_ENUM_0012	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0013	Ouroboros's Pendant
BUNDLE_DESC_ENUM_0013	A valuable set of items and Gems
BUNDLE_NAME_ENUM_0013_01	Black Friday Bundle
BUNDLE_DESC_ENUM_0013_01	★Black Friday Special Offer!★<br>An exclusive bundle to unleash the true potential of your units!
BUNDLE_NAME_ENUM_009_01	Black Friday Mega Bundle
BUNDLE_DESC_ENUM_009_01	★Black Friday Special Offer!★<br>An exclusive bundle to make your strongest units even stronger!
BUNDLE_NAME_ENUM_0013_02	Winter Holiday Bundle
BUNDLE_DESC_ENUM_0013_02	★Winter Holiday Exclusive Offer!★<br>A bundle of goodies to delight you this holiday season.
BUNDLE_NAME_ENUM_009_02	Winter Holiday Mega Bundle
BUNDLE_DESC_ENUM_009_02	★Winter Holiday Exclusive Offer!★<br>A sack of presents to celebrate this winter festive season.
BUNDLE_NAME_ENUM_0012_01	Amazon Mystic Pouch
BUNDLE_DESC_ENUM_0012_01	★Amazon Exclusive Offer!★<br>A mysterious pouch engraved with a smile on one side.
BUNDLE_NAME_ENUM_007_01	Amazon Mystic Chest
BUNDLE_DESC_ENUM_007_01	★Amazon Exclusive Offer!★<br>A mysterious chest marked only by a smile on the lid.
BUNDLE_NAME_ENUM_0014_01	Cupid's Memento
BUNDLE_DESC_ENUM_0014_01	★Valentine's Day Exclusive Offer!★<br>A delightful bit of Valentine's Day to warm your heart.
BUNDLE_NAME_ENUM_008_01	Cupid's Bouquet
BUNDLE_DESC_ENUM_008_01	★Valentine's Day Exclusive Offer!★<br>A beautiful bouquet made by Cupid for your perfect Valentine's Day.
BUNDLE_NAME_ENUM_009_03F	Valentine's Sweetheart Bundle
BUNDLE_DESC_ENUM_009_03F	★Valentine's Day Exclusive Offer! ★<br>A special date with your sweetheart for your sweetest Valentine's Day.
