CREATE_KNIGHTS_TITLE	創建騎士團
JOIN_KNIGHTS_TITLE	加入騎士團
KNIGHTS_MSG_TITLE	騎士團宣言
KNIGHTS_MSG_MSG	<color=#FFFFFF00>____</color>我將友好對待弱者,我將勇敢面對強者,我將與惡人戰鬥,我將幫助那些請我幫助的人,我將不傷害女人,我將幫助騎士團兄弟,我將忠誠對待朋友,我將真誠對待愛情!
CREATE_KNIGHTS_NUM	花費{0}幻晶石即可創建屬於自己的騎士團
JOIN_KNIGHTS_MSG	亦可選擇自己喜歡的騎士團與兄弟征戰
CREATE	創建
KNIGHTS_ANNOUNCE	騎士團公告
KNIGHTS_NAME	騎士團名稱
MIN_LEVEL	最小等級限定
INPUT_KNIGHTS_NAME	請輸入騎士團名稱
JOIN_CONDITION	加入條件
CREATE_KN_CONFIRM	騎士團創建後，您將自動成騎士團團長。
CREATE_KN_CONFIRM_NUM	是否花費{0}幻晶石創建自己的騎士團？
CONDI_KN_BTN	再考慮下
CREATE_SUCESS_MSG	您現在擁有了屬於自己的騎士團了!衷心祝願您的騎士團將會越來越強大!
SEARCH_KNIGHTS	騎士團搜索
DENA_INPUT_KNIGHTS	請輸入騎士團名稱
DENA_INPUT_KNIGHTS_LEN	騎士團名稱不能超過{0}個字符
DENA_INPUT_KNIGHTS_ANLEN	騎士團公告不能超過{0}個字符
DENA_OPEN_JOIN	任何人都可加入
DENA_NO_JOIN	不能加入
DENA_CONDI_JOIN	條件審批加入
DENA_KN_EMB	騎士團徽章
KNIGHTS_MEMBER	成員：{0}/{1};
KNIGHTS_CON	申請條件：等級≥{0}
KNIGHTS_CON_NO	申請條件：無
KNIGHTS_CON_BAN	申請條件：不能加入
CANCEL_APP_BTN	取消申請
KNIGHTS_CON_APP	申請條件：需要審批
KNIGHTS_MEMBER_APP_MSG	是否向騎士團發出入團申請？申請後，請等待團長和副團長審批.
KNIGHTS_MEMBER_APP_CHECK	申請附言
KNIGHTS_MEMBER_APP_INPUT	請輸入50字以內的申請附言
APPLY_LIMIT_COUNT_MSG	同時只能向{0}個騎士團提出入團申請！             
PLLV_SHORT	玩家等級不足
ILL_QST_NAME	非法名字
SAME_QST_NAME	名字重復
ICON_NOT_EXIST	ICON不存在
HAVE_JOIN_QST	已在騎士團中
APPLY_COUNT_LIMIT	申請次數上限
NO_QST_INFO	沒有此騎士團信息
QST_MEMBER_LIMIT	騎士團成員已滿
JOIN_TYPE_FORBID	此騎士團禁上加入
JOIN_LEVEL_FORBID	此騎士團限制等級加入
