MOVE	點擊塗成藍色的範圍，可以移動。<br>直直走到迪歐斯前面吧。
MOVE2	在頁面中放置手指後，就可以使用虛擬key直接行動。
	
ATTACK	點擊頭上的「<b>ATTACK</b>」，<br>可以攻擊迪歐斯。
ATTACK2	點擊OK開始攻擊。
SETDIR	決定好待機方向後，請點擊喜歡的方向的箭號。
	
MOVE3	不移動就行動的情況下，行動後再移動也可以。
	
PARTY	點擊英靈的圖標，則可以替換英靈。

BACKSTAB	從背面攻擊，則能產生比普通攻擊更多的傷害。<br>操作洛基，試試打敗弗拉德。
JOB	各職業有各職業的特征，弓箭手和盜賊<br>需要找準射程和攻擊的最佳方向。
PRIEST	牧師的職業，能使用魔法將友軍的HP回復。<br>一邊注意敵人的攻擊，一邊進行支援吧。
WARRIOR	戰士是擅長近戰的職業。<br>攻防平衡很好，可以擔任前鋒，衝進敵人陣營拚殺。
MOVE4	移動至最佳方位，打敗敵人吧。
PRIEST	牧師的職業，能使用魔法將友軍的HP回復。<br>一邊注意敵人的攻擊，一邊進行支援吧。
WARRIOR	戰士是擅長近戰的職業。攻防平衡很好，<br>趁機移動克羅伊衝入敵人陣營吧。
WARRIOR1	把握好進攻節奏，擊敗內維爾吧！
