IT_US_FATE_TAIYAKI_EXPR	3回合內，帶有加速效果
IT_US_FATE_TAIYAKI_FLAVOR	經常在商店街出沒的“江戶前屋”攤點上製作的鯛魚豆沙包。雖然價格不菲，但是連尾部都有豆沙餡，很受學生党的歡迎。鬆軟可口，冷藏後也非常好吃。
IT_US_FF_STEAK_EXPR	英靈的最大HP上升&上升的部分回復
IT_US_FF_STEAK_FLAVOR	喜歡料理的伊格尼斯，用迦樓羅鳥的肉精製燒成的肉排。大蒜和醬料的香氣令人食欲大增。吃一口就能讓疲勞的身體瞬間復活。
IT_US_TS_STEW_01_EXPR	一定時間內，使物件帶有加速效果
IT_US_TS_STEW_01_FLAVOR	蒼炎騎士團長吉克的女兒·愛葛莎手工製作的燉菜。顯眼的星型裝飾裡，包含著她對討厭胡蘿蔔的兄弟兩的關懷與感情，以及大家一起眺望星空時的思念。
IT_US_TS_JEWEL_HEAL_01_EXPR	回復指定對象50的魔力
IT_US_TS_JEWEL_HEAL_01_FLAVOR	商人艾琉所發現的也許是新品種的梅爾波特蘑菇。雖然是作為燉菜的普通食材，但這卻是稀有的變種。至今為止都沒發現明顯的不同，遭到不少專家的非議。
IT_UG_APPLE_FA_EXPR	能特大幅度提高英靈經驗值的蘋果
IT_UG_APPLE_FA_FLAVOR	蘊含著煉丹術達人記憶的蘋果。拿在手上就能永久繼承它的記憶以及龍脈的“氣息”。有著令人懷念的氣息，也是小美最喜歡的蘋果。
IT_UG_APPLE_200CP_EXPR	能超級大幅度提高英靈經驗值的蘋果
IT_UG_APPLE_200CP_FLAVOR	注入了世界冒險家記憶的蘋果。手持經驗蘋果就能繼承記憶，這份記憶就會在使用者的腦中永遠生存。少女持有的蘋果，持有預見未來的力量，非常稀有的道具。
IT_UG_APPLE_222CP_EXPR	能超級大幅度提高英靈經驗值的蘋果
IT_UG_APPLE_222CP_FLAVOR	注入了世界冒險家記憶的蘋果。手持經驗蘋果就能繼承記憶，這份記憶就會在使用者的腦中永遠生存。少女持有的蘋果，持有預見未來的力量，非常稀有的道具。
IT_KEY_QUEST_P_EXP_EXPR	可以開放一次獲得超多玩家經驗值的鑰匙副本『修煉時刻』的鑰匙。
IT_US_2017SEP_ARTIFACT_PIECE_TICKET_EXPR	武具投影困難副本中可以獲得的武器碎片的召喚禮券
IT_US_LOTTERY_FRIEND_01_EXPR	可以召喚獲得銅塊·銀塊·金塊·虹晶塊的3連召喚禮券
IT_US_TS_TICKET_EXPR	可以召喚1個★3以上真理念裝的禮券
IT_US_RARE4_TS_TICKET_EXPR	可以召喚1個保底★4真理念裝的禮券
IT_US_2016DEC_COLLABO_TICKET_EXPR	可以確保召喚1只Fate/stay night[UBW]聯動英靈的召喚禮券
IT_SU_FATE_TICKET_EXPR	可以選擇Fate/stay night[UBW]聯動英靈（saber?遠阪凜?伊莉亞?拉米亞?扎哈爾）其中一位的召喚禮券。
IT_SU_FATE_TICKET_02_EXPR	可以選擇Fate/stay night[UBW]聯動英靈（吉爾伽美什·saber?遠阪凜?伊莉亞?拉米亞?扎哈爾）其中一位的召喚禮券。
IT_US_FATE_PICKUP_TICKET_EXPR	為了誰的鍊金術師×Fate/stay night[UBW]聯合活動　10,000推特報酬
IT_US_FATE_ZAHAR_TICKET_EXPR	為了誰的鍊金術師×Fate/stay night[UBW]聯合活動　12,500推特報酬
IT_US_FATE_LAMIA_TICKET_EXPR	為了誰的鍊金術師×Fate/stay night[UBW]聯合活動　15,000推特報酬
IT_US_2017MAR_COLLABO_TICKET_EXPR	可以確保召喚1只魔界戰記聯動英靈的召喚禮券
IT_SU_DIS_TICKET_EXPR	可以選擇1只魔界戰記聯動英靈（奇力亞、雪拉菲娜、火紅瑪格納斯、鈴）的召喚禮券
IT_US_2017MAR_COLLABO_20PERTICKET_EXPR	可以20%概率召喚1只魔界戰記聯動英靈的召喚禮券
IT_US_2017APR_COLLABO_TICKET_EXPR	可以確保召喚1只魔界戰記聯動英靈的召喚禮券
IT_SU_2017APR_TICKET_EXPR	可以選擇1只(拉哈爾、艾特娜、阿爾彌拉(魔界戰記ver)、蘿莎(魔界戰記ver)、黛西、納薩里奧】)的召喚禮券
IT_US_DIS_PICKUP_TICKET02_EXPR	可以在PICK UP中召喚魔界戰記聯動英靈的召喚禮券
IT_US_2017APR_COLLABO_20PERTICKET_EXPR	可以20%概率召喚1只魔界戰記聯動英靈的召喚禮券
IT_US_DIS_PICKUP_TICKET_EXPR	可以在PICK UP中召喚魔界戰記聯動英靈的召喚禮券
IT_SU_DIS_TICKET02_EXPR	可以選擇1只魔界戰記聯動英靈（拉哈爾、艾特娜、蘿莎、阿爾彌拉、奇力亞、雪拉菲娜、火紅瑪格納斯、鈴）的召喚禮券
IT_SI_DIS_PI_TICKET_EXPR	可以選擇魔界戰記聯動英靈魂之碎片X50個（拉哈爾、艾特娜、蘿莎、阿爾彌拉、奇力亞、雪拉菲娜、火紅瑪格納斯、鈴）的召喚禮券
IT_SA_DIS_TICKET_EXPR	　
IT_US_FF15_SOULTICKET02_EXPR	FFVX聯動英靈中，可以獲得1個魂之碎片召喚禮券
IT_US_POK_SOULTICKET_25_EXPR	幻影英靈中，可以獲得1只的魂之碎片25個的禮券
IT_US_POK_SOULTICKET_50_EXPR	幻影英靈中，可以獲得1只的魂之碎片50個的禮券
IT_SU_2017JUNE_PICKUP_TICKET_EXPR	可以選擇幻影紋章聯動英靈(雷瓦汀、舍金納、西塔、芙奧卡斯、芭蕉扇)其中一隻的召喚禮券
IT_SA_S4_BUGU_TICKET09_EXPR	可以從★4的武具中選擇的召喚禮券
IT_SU_2017JULY_TICKET_EXPR	可以選擇(施托克、艾璐卡、阿托、安尼卡、休格)其中一隻的召喚禮券
IT_US_2017JULY_COLLABO_SOULTICKET_25_EXPR	聯動英靈中，可以獲得1只的魂之碎片X25的禮券
IT_US_2017JULY_COLLABO_TICKET02_EXPR	可以確保召喚1只FgG聯動英靈的召喚禮券
IT_SA_S4_BUGU_TICKET10_EXPR	可以從★4的武具中選擇的召喚禮券
IT_SI_2017_FgG_SOUL_TICKET_EXPR	可以選擇FgG聯動英靈(厄洛斯、百合、雷瓦汀、舍金納、西塔、芙奧卡斯、芭蕉扇、櫻、深淵冥姬黃泉）的魂之碎片25個的召喚禮券
IT_SU_2017_FgG_TICKET03_EXPR	可以選擇FgG聯動英靈(厄洛斯、百合、雷瓦汀、舍金納、西塔、芙奧卡斯、芭蕉扇、櫻、深淵冥姬黃泉)其中一隻的召喚禮券
IT_US_FgG_SOULTICKET_EXPR	可以獲得FgG聯動英靈(厄洛斯、百合、雷瓦汀、舍金納、西塔、芙奧卡斯、芭蕉扇、櫻、深淵冥姬黃泉）其中一隻的魂之碎片1個的召喚禮券
IT_US_2017AUG_PICKUP_SOULTICKET_25_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X25的禮券
IT_US_2017AUG_PICKUP_SOULTICKET_50_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X50的禮券
IT_SI_2017AUG_SEISEKI_SOULTICKET_25_EXPR	可以選擇1只PICK UP英靈（諾因·阿哈特·扎因·繆娜·卡達諾巴?庫達恩修坦?蒙澤因）的魂之碎片25個的召喚禮券
IT_SI_2017AUG_SEISEKI_SOULTICKET_25_02_EXPR	可以選擇1只PICK UP英靈（茲布婭·芙尤麗·菲亞·巴西尼·歐提瑪·亞烏拉斯·賽達）的魂之碎片25個的召喚禮券
IT_US_2017AUG_SEISEKI_TICKET_EXPR	可以保底召喚1只聖石的追憶英靈的召喚禮券
IT_SA_S4_BUGU_TICKET11_EXPR	可以從★4的武具中選擇的召喚禮券
IT_SU_2017AUG_TICKET_EXPR	可以選擇(茲布婭·諾因·芙尤麗·賽達·緹奧娜·勝美·玉藻)其中一隻的召喚禮券
IT_US_SOULTICKET_25_02_EXPR	可以獲得3星以上稀有度英靈的“魂之碎片”的禮券
IT_SI_2017AUG_SOULTICKET_25_EXPR	7月31日為止稀有召喚登場的英靈的魂之碎片X25的召喚禮券。※十戒英靈（茲布婭、諾因、芙尤麗、阿哈特、菲亞）以及各種聯動英靈的碎片不在其中。
IT_SU_2017AUG_RARE5_TICKET_EXPR	可以召喚稀有召喚中出現的★5英靈1只的禮券
IT_SI_2017AUG_PICKUP_SOULTICKET_25_EXPR	可以選擇1只PICK UP英靈（帕拉丁·死神·薩滿·龍騎兵·克羅伊）的魂之碎片25個的召喚禮券
IT_US_2017SEP_PICKUP_SOULTICKET_25_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X25的禮券
IT_US_2017SEP_PICKUP_SOULTICKET_50_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X50的禮券
IT_US_2017SEP_PICKUP_TICKET_EXPR	可以確保召喚1只PICK UP英靈的召喚禮券
IT_US_2017SEP_COLLABO_20PERTICKET_EXPR	可以20%幾率召喚1只世界樹聯動英靈的召喚禮券
IT_SI_2017SEP_SOULTICKET_25_EXPR	可以選擇1只PICK UP英靈（雷德·十六夜·蘿莎·陣）的魂之碎片25個的召喚禮券
IT_US_2017OCT_PICKUP_SOULTICKET_25_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X25的禮券
IT_US_2017OCT_PICKUP_SOULTICKET_50_EXPR	PICK UP英靈中，可以獲得1只的魂之碎片X50的禮券
IT_US_2017OCT_PICKUP_TICKET_EXPR	可以確保召喚1只PICK UP英靈的召喚禮券
IT_SA_S4_BUGU_TICKET13_EXPR	可以從★4的武具中選擇的召喚禮券
IT_SU_2017OCT_TICKET_EXPR	可以選擇(烏茲瑪、沃恩、伊內斯、妮卡、繆娜)其中一隻的召喚禮券
IT_SI_2017OCT_SEISEKI_SOULTICKET_50_EXPR	可以選擇的十戒(阿哈特、菲亞、諾因、茲布婭、芙尤麗)的魂之碎片50個的召喚禮券
IT_US_2017OCT_ARTIFACT_PIECE_TICKET_EXPR	2017年10月的武具投影困難副本中可以獲得的武器碎片的召喚禮券
IT_SI_180_PI_TICKET01_EXPR	6月30日為止稀有召喚登場的★3?★5英靈的魂之碎片X50的召喚禮券。※聖石的追憶英靈（阿哈特、菲亞·卡達諾巴·庫達恩修坦·賽達·蒙澤因·亞烏拉斯·扎因·歐提瑪·巴西尼）7月英靈（安尼卡、休格）以及各種聯動英靈的碎片不在其中。
IT_SU_180_TICKET_EXPR	6月30日為止稀有召喚登場的★3?★5英靈的召喚禮券。※聖石的追憶英靈（阿哈特、菲亞·卡達諾巴·庫達恩修坦·賽達·蒙澤因·亞烏拉斯·扎因·歐提瑪·巴西尼）7月英靈（安尼卡、休格）以及各種聯動英靈不在其中。
IT_SU_RH_TICKET_EXPR	可以選擇光輝物語聯動英靈(施托克、艾璐卡、阿托)其中一隻的召喚禮券
IT_SA_180_BUGU_TICKET_EXPR	選擇★3、★4的武具並召喚的禮券※包括期間限定武具（克羅烏力的劍、魔刃投影）。『戒環?黒炎』不包括。不包括聯動武具。
IT_SI_RH_PI_TICKET_EXPR	可以選擇光輝物語聯動英靈(施托克、艾璐卡、阿托)的魂之碎片50個的召喚禮券
IT_SI_2017_FgG_PI_TICKET01_EXPR	可以選擇FgG聯動英靈(厄洛斯、百合、雷瓦汀、舍金納、西塔、芙奧卡斯、芭蕉扇）的魂之碎片50個的召喚禮券
IT_SU_SEISEKI05_TICKET_EXPR	可以選擇1只聖石英靈（茲布婭、諾因、芙尤麗·阿哈特·菲亞·卡達諾巴?庫達恩修坦?賽達?蒙澤因?亞烏拉斯?扎因?歐提瑪?繆娜·巴西尼）的召喚禮券
IT_SI_200_PI_TICKET_EXPR	7月31日為止稀有召喚登場的英靈的魂之碎片X50的召喚禮券。※十戒英靈（茲布婭、諾因、芙尤麗、阿哈特、菲亞）以及各種聯動英靈的碎片不在其中。
IT_SU_200_TICKET_EXPR	可選擇的7月31日為止稀有召喚登場的英靈的召喚禮券。※十戒英靈（茲布婭、諾因、芙尤麗、阿哈特、菲亞）以及各種聯動英靈不在其中。
IT_SA_200_BUGU_TICKET_EXPR	可以選擇7月31日為止登場的可以在武具召喚中獲得的★3、★4的武具並召喚的禮券※包括活動限定武具（克勞利的劍、魔刃投影）。不包括『戒環?黒炎』和其他聯動武具。
IT_US_200_RARE5EV_TICKET_EXPR	7月31日為止稀有召喚登場的★5英靈或者★4-5英靈確保召喚一隻的禮券。※十戒英靈（茲布婭、諾因、芙尤麗）、期間限定英靈（巴爾特?米埃莉琪?夏娃?弗雷茲·盧克蕾蒂亞）以及各種聯動英靈不在其中。
IT_US_200_RARE5EV_TICKET_FLAVOR	※十戒英灵（兹布娅、诺因、芙尤丽）、期间限定英灵（巴尔特･米埃莉琪･夏娃･弗雷兹·卢克蕾蒂亚）以及各种联动英灵不在其中。
IT_SI_JUKKAI_PI_TICKET01_EXPR	可以選擇的十戒(阿哈特、菲亞、諾因、茲布婭、芙尤麗)的魂之碎片50個的召喚禮券
IT_SI_2017_AUG_PI_TICKET_EXPR	8月17日為止稀有召喚登場的★3、★4、★4-5、★5英靈的魂之碎片X50的召喚禮券。包括聖石的追憶英靈、十戒英靈。各種聯動英靈的碎片不在其中。
IT_US_VOTE_BUGU_TICKET07_EXPR	可以確保入手英靈『阿斯瓦朵』的推薦武具的召喚禮券
IT_US_VOTE_BUGU_TICKET08_EXPR	可以確保入手英靈『瀨路』的推薦武具的召喚禮券
IT_US_VOTE_BUGU_TICKET09_EXPR	可以確保入手英靈『蘿莎』的推薦武具的召喚禮券
IT_SU_DILGA_TICKET_EXPR	可以選擇1只『迪爾加』而召喚的禮券。※不管選擇哪個『迪爾加』都會出現同一個『迪爾加』。
IT_US_2017SEPT_SUMMONCOIN_TICKET01_EXPR	英靈雷德保底1只的10連特別召喚禮券
IT_US_2017SEPT_SUMMONCOIN_TICKET02_EXPR	英靈十六夜保底1只的10連特別召喚禮券
IT_US_2017SEPT_SUMMONCOIN_TICKET03_EXPR	PICK UP英靈『雷德/十六夜/陣/羅莎』中保底1只的10連特別召喚禮券
IT_US_2017SEPT_SUMMONCOIN_TICKET04_EXPR	活躍英靈『菲亞/露莎/克莉瑪/安尼卡/梅芳/歐提瑪』中保底1只的10連特別召喚禮券
IT_US_2017SEPT_SUMMONCOIN_TICKET05_EXPR	活躍英靈『芙尤麗/拉維娜/琪婭歐/安尼卡/納薩里奧/妮卡』中保底1只的10連特別召喚禮券
IT_US_2017SEPT_SUMMONCOIN_TICKET06_EXPR	活躍英靈『亞烏拉斯/巴西尼/茲布婭/哈澤魯/剎那』中保底1只的10連特別召喚禮券
IT_US_2017SEPT_SUMMONCOIN_TICKET07_EXPR	英靈烏茲瑪保底1只的10連特別召喚禮券
IT_US_2017SEPT_SUMMONCOIN_TICKET08_EXPR	英靈沃恩保底1只的10連特別召喚禮券
IT_US_2017SEPT_SUMMONCOIN_TICKET09_EXPR	英靈伊內斯保底1只的10連特別召喚禮券
IT_US_2017SEPT_SUMMONCOIN_TICKET10_EXPR	PICK UP英靈『烏茲瑪/沃恩/伊內斯/德內普/魯比娜斯/妮卡/繆娜』中保底1只的10連特別召喚禮券
