QE_TM_POT_LIM_LV1	關卡效果：物攻負加成、魔攻正加成
QE_TM_POT_LIM_LV2	關卡效果：物攻負加成、魔攻正加成
QE_TM_POT_LIM_LV3	關卡效果：物攻負加成、魔攻正加成
QE_EV_FF15_3	傷害限制:200
QE_EV_FF15_EX_1	提示:曼陀羅里有「命中」
QE_EV_FF15_EX_2	提示:打倒魔導兵的話…
QE_EV_FF15_EX_3	提示：(1)注意會讓手受傷的仙人掌!! (2)打倒蟲子的首領的話…!?
QE_EV_FF15_EX_5	提示：注意拉特恩!!被惡作劇后敵方全體會變強!!請在他們變強之前對付他們!
QE_EV_FF15_EX_SP_5	提示：注意拉特恩!!被惡作劇后敵方全體會變強!!請在他們變強之前對付他們!
QE_EV_RADIANT_5	有毒氣和催眠氣體的陷阱！小心點！
QE_EV_RADIANT_HA	提示：推薦手動操作。在煤礦里奔跑的雷尼。煤礦漸塌，突破后向著魔力的位置逃吧！
QE_EV_180CP	提示：打倒敵人的話，同盟會…
QE_EV_RADIANT_EX_1	提示:地圖上的敵人好像都加了攻擊耐性。不知為何“打破守護的花”可以減少攻擊耐性…
QE_EV_RADIANT_EX_3	提示:敵上級聖騎的反應能力根據HP減少量而增加威力。請注意不要受到意外傷害。
QE_SO_MILIS_EX	提示：打擊、刺擊、跳躍有利
QE_SO_CELLIERS_EX_1	提示:重復發生的增益使卡伊扎變得強大，注意不要與其正面對抗。若能解決他的“增幅”可能…!?
QE_SO_CELLIERS_EX_2	提示:重復發生的增益使卡伊扎變得強大，注意不要與其正面對抗。若能解決他的“增幅”可能…!?
QE_SO_CELLIERS_EX_3	提示:重復發生的增益使卡伊扎變得強大，注意不要與其正面對抗。若能解決他的“增幅”可能…!?
QE_EV_RADIANT_EX_SP	提示:利用瑪納的礦脈吧!
QE_EV_SEISEKI_DJ_9_09	提示：(1)向著寶箱附近前進！ (2)使魔仆不戰鬥…！？ (3)茲布婭出動前是好機會！

QE_EV_3TITLE_EX3	提示:盡可能帶上「運」高的英靈一起去！拉特恩會比較自己的運和對方的運，然後發動技能攻擊噢！ 推薦：運300左右（最好是拉特恩的運的２倍）

QE_EV_NICO2_FUKUDA_01	不可自動戰鬥、不何使用道具、無連攜<br>※副本任務的幻晶石和候鳥披肩將在任務達成時發送到禮物箱
QE_EV_UNDOUKAI_2017_SPEED	拉特恩·對手到達裁判那裡前，和好友拿好接力棒將裁判打倒吧
QE_EV_UNDOUKAI_2017_MAGIC	提示：會有隱藏的魔力再生點噢！
QE_EV_UNDOUKAI_2017_DEF	提示：<br>(1)「格族的護石」根據不同顏色反擊的攻擊屬性也不同！<br>(2)物防3倍格子是敵我雙方通用的！選擇位置很關鍵！
QE_EV_UNDOUKAI_2017_ATTACK	(1)攻擊裁判魔人的話會受到全體攻擊噢！<br>(2)最後的猜謎是３題中隨機出１題！<br>(3)因為有物防提升的格子，直接打中間的魔人是打不倒的！<br>攻擊別處的牆壁的話…!?
QE_EV_HAGOITA_2018	※「2人以內組隊通關」中也包含NPC的貝爾塔。<br>攻略的提示：使用武具『羽子板』的WA「消除敗者」的話，永山的反應也不可怕噢！將小皮球拉特恩放到終點，獲得大量的「戌之碎片」吧！

QE_SO_DARTAGNAN_EX_SP	出擊達爾達尼央、米基斯特斯出身國的英靈，地圖上屬性提升…!?
QE_EV_TRIAL_01	【念動師說明】<br>普通攻擊是參考魔攻的物理攻擊<br>技能的一部分是魔攻·魔防及參考對方的魔防的魔法攻擊<br> - 閃電火<br> - 電磁念擊<br> - 念波水流<br>※使用在魔防100～500的拉特恩身上，確認傷害有何不同吧！<br>開始的３回合通過支援能力“念動加速”，使得物攻、物防、魔攻、魔防、速度提升
QE_MULTI_CLEAR_IMPOSSIBLE_01	不可繼續
QE_EV_CLEAR_IMPOSSIBLE_02_VERYEASY	與魔人作戰可不輕松！首先通過這個副本來鍛鍊一下自己吧！
QE_EV_CLEAR_IMPOSSIBLE_02_EASY	與高等級魔人的戰鬥！　※額外副本任務獎勵的幻晶石將發送到禮物箱
QE_EV_CLEAR_IMPOSSIBLE_02	不可繼續
QE_MULTI_CLEAR_IMPOSSIBLE_02	不可繼續
QE_WA_UZMA_EX_SP_1	可使用『中途替換』功能。可以任意時間點替換候補英靈，所替換的候補英靈可以馬上行動。
QE_EV_HALL_HAYATE_EX	提示：拉特恩變弱的話可以吃不可思議的點心
QE_EV_HAGAREN_14	攻略的提示：花·黑暗變成瀕死狀態時會使用特殊技能！<br>
QE_EV_HAGAREN_2_14	攻略的提示：花·黑暗變成瀕死狀態時會使用特殊技能！<br>
QE_EV_HAGAREN_3_14	攻略的提示：花·黑暗變成瀕死狀態時會使用特殊技能！<br>
QE_EV_HAGAREN_EX_SP_3	攻略提示：踏入被盟友擋住的格子可以獲得強力的BUFF效果！<br>只要打倒某個敵人就能清除盟友！
QE_EV_POK3_SAM_EX	攻略提示：支援BUFF水晶的反應根據距離不同支援效果是不一樣的！<br>善加利用攻略副本吧！
QE_EV_SEISEKI_DJ_10_EX	※「用5人以內的隊伍通關」中也包含NPC的歐提瑪。<br>攻略提示：減速[詛咒]雖然很棘手、踏入格子就有可能打倒花·硬！
QE_EV_POK3_SAM_EX2	※「用「提爾鋒」打倒最後的敵人通關」中用[黑]提爾鋒無法達成。<br>攻略提示：<br>對守護獸會提升敵方全體攻擊分類的耐性！要盡快打倒或者用沒有耐性區分的攻擊方法消滅吧！<br>提爾鋒格里特的反應能力『肅清之黑』非常的棘手！被附上「某個」異常狀態的話就無法反擊咯！
QE_EV_XMAS2017_EX	攻略提示：ＣＰ中的♂、會針對各個名稱的攻擊來保護除自己之外的己方全體。選擇符合自己PT屬性和攻擊分類的敵人來順序打倒吧！<br>陷阱等固定傷害的辦法也很有效果！！
QE_EV_POK4_SAM_EX	攻略提示：攻擊金屬拉特恩的話傷害是很大的！也可以根據適應性來編成英靈對付強大的敵人???　
QE_EV_VALENTINE2018_EX	攻略提示：攻擊金屬拉特恩后會遭到各種各樣的反擊！好好確認屬性后再攻擊吧！
QE_MULTI_VALENTINE2018_EX	攻略提示：攻擊金屬拉特恩后會遭到各種各樣的反擊！好好確認屬性后再攻擊吧！

QE_MT_TOWER_7	攻略提示：被監視拉特恩發現的話熟睡的敵人就全部醒了！避免被發現，逐一打倒吧！
QE_MT_TOWER_9	攻略提示：在關卡后方的花·麻痹占據著可以為敵方全體回復的格子，要盡快打倒！在初期英靈配置的時候要善于變更初始位置活用有利的格子！
QE_MT_TOWER_11	攻略提示：盡快打倒在關卡后方的艾琉是攻略的重點！但是金屬拉特恩也會來阻撓！只要能順利越過。
QE_MT_TOWER_12	攻略提示：一開始能受到海賊的某個范圍技能加成的話，就能使狀態異常無效化！
QE_MT_TOWER_13	攻略提示：能夠阻擋鬼魔人多久是本次的攻略重點！使速度和CT降低的話就能爭取時間！
QE_MT_TOWER_14	攻略提示：是否有超過敵人速度的英靈會導致戰法的不同！
QE_MT_TOWER_15	攻略提示：能夠將異層的喜愛魔人成為自己人的話就能大幅提升戰力！需要注意幻影魔兵?僧侶的全體預防！
QE_MT_TOWER_16	攻略提示：高低差多正是強力上級龍騎的機會！
QE_MT_TOWER_17	攻略提示：只要不被打中就好！用高回避的英靈和回避系的技能來躲避吧！
QE_MT_TOWER_18	攻略提示：要小心普修魔人的「推擊」！
QE_MT_TOWER_19	攻略提示：命輝的拉特恩如果不盡早消滅的話就會遭到致命的打擊！攻擊AJ5000的話，AJ系列會因為機械學習而不斷提升能力！一口氣打倒吧！
QE_MT_TOWER_20	攻略提示：有效活用射擊UP格子、在爆裂型拉特恩迫近前打倒吧！
QE_MT_TOWER_21	攻略提示：活用魔攻UP＆吟唱速度UP的格子，打倒普修魔人吧。
QE_MT_TOWER_22	攻略提示：用斬擊英靈挑戰吧。存在對人特效、魔人特效的話就會更有利。
QE_MT_TOWER_23	攻略提示：射擊職業通過天候效果“突風”，增加射程的技能很多。
QE_MT_TOWER_24	攻略提示：對斬打射刺魔的守護獸是會提升敵人全體耐性的棘手角色。每次增援耐性都會減少。對斬打射刺魔的守護獸似乎也沒什麼弱點，但是在屬性頁面細細查看參數和耐性的話也許會找到突破口！？
QE_MT_TOWER_25	攻略提示：把搗亂的甜品魔人困在同盟處吧！
QE_MT_TOWER_26	攻略提示：鋪設的陷進是魔法攻擊類的。有耐性的英靈可是很有限的哦。
QE_MT_TOWER_27	攻略提示：物理攻擊會被完全回避，因此用魔法攻擊來攻略吧！活用支援秘石是攻略的重點、但是要注意沒有接近到射程1是不會發動的！
QE_MT_TOWER_29	攻略提示：踏入縮短行動格子后，下回合的行動等待時間就會大幅縮短！
QE_MT_TOWER_30	攻略提示：雖然可以沿著毒沼前進，但是會變成中毒?回復無效狀態、因此盡量別踏入！
	
QE_EV_BABEL_2_01	敗北條件：扎哈爾死亡
QE_EV_BABEL_2_02	敗北條件：扎哈爾或者蕾迪亞死亡
QE_EV_BABEL_2_03	敗北條件：扎哈爾死亡
QE_EV_BABEL_2_04	敗北條件：扎哈爾死亡
