
EFF_UP	UP
EFF_DOWN	DOWN

;ＢＵＦＦ的說明	
BUFF_None	NONE
BUFF_Hp	MAX HP
BUFF_HpMax	HP
BUFF_Mp	MP
BUFF_MpIni	MP
BUFF_Atk	ATK
BUFF_Def	DEF
BUFF_Mag	MAG
BUFF_Mnd	MND
BUFF_Rec	HEAL POWER
BUFF_Dex	DEX
BUFF_Spd	SPEED
BUFF_Cri	CRITICAL
BUFF_Luk	LUCK
BUFF_Mov	MOVE
BUFF_Jmp	JUMP
BUFF_Assist_Fire	FIRE
BUFF_Assist_Water	WATER
BUFF_Assist_Wind	WIND
BUFF_Assist_Thunder	THUNDER
BUFF_Assist_Shine	SHINE
BUFF_Assist_Dark	DARK
BUFF_Assist_Poison	POISON
BUFF_Assist_Paralysed	PARALYZE
BUFF_Assist_Stun	STUN
BUFF_Assist_Sleep	SLEEP
BUFF_Assist_Charm	CHARM
BUFF_Assist_Stone	STONE
BUFF_Assist_Blind	BLIND
BUFF_Assist_DisableSkill	DISABLE SKILL
BUFF_Assist_DisableMove	DISABLE MOVE
BUFF_Assist_DisableAttack	DISABLE ATTACK
BUFF_Assist_Zombie	ZOMBIE
BUFF_Assist_DeathSentence	DEATH
BUFF_Assist_Berserk	BERSERK
BUFF_Assist_Knockback	KNOCKBACK
BUFF_Assist_ResistBuff	BUFF RESIST
BUFF_Assist_ResistDebuff	DEBUFF RESIST
BUFF_Assist_Stop	STOP
BUFF_Assist_Fast	CLOCK UP
BUFF_Assist_Slow	CLOCK DOWN
BUFF_Assist_AutoHeal	AUTOHEAL
BUFF_Assist_Donsoku	SLOWMOVE
BUFF_Assist_Rage	RAGE
BUFF_Assist_GoodSleep	GOOD SLEEP
BUFF_Resist_Fire	FIRE RESIST
BUFF_Resist_Water	WATER RESIST
BUFF_Resist_Wind	WIND RESIST
BUFF_Resist_Thunder	THUNDER RESIST
BUFF_Resist_Shine	SHINE RESIST
BUFF_Resist_Dark	DARK RESIST
BUFF_Resist_Poison	POISON RESIST
BUFF_Resist_Paralysed	PARALYZE RESIST
BUFF_Resist_Stun	STUN RESIST
BUFF_Resist_Sleep	SLEEP RESIST
BUFF_Resist_Charm	CHARM RESIST
BUFF_Resist_Stone	STONE RESIST
