001	自我的祖國拉斯特里斯公國滅亡<br>已過了20年...！	tut002a.vlad_story0101_0001
001a	潛伏於偏遠之地，藏匿於森林中...<br>飲著沼澤的水，熬著過了一天又一天！	tut002a.vlad_story0101_0001_02
001b	但是...這充滿痛苦的日子，<br>終於要結束了！	tut002a.vlad_story0101_0001_03
001c	要用憤怒的力量<br>將殘暴的賊國安比利亞<br>給驅逐出大陸！！	tut002a.vlad_story0101_0001_04
002	喔噢噢噢噢噢噢！！！	tut002a.laastris_soldiers_story0101_0001
003	你就是<br>拉斯特里斯公國三傑裡唯一殘存的...<br>弗拉德將軍嗎？	tut002a.logi_story0101_0010
004	什麼...？！	tut002a.vlad_story0101_0002
005	是要從奧爾多林堡壘開始叛亂嗎！<br>不會讓你們得逞的！	tut002a.logi_story0101_0011
006	這、這個小鬼！！　什麼時候起？！	tut002a.laastris_soldier_a_story0101_0001
007	好的！　我知道了！<br>...迪歐斯！！	tut002a.logi_story0101_0012
008	哼...叫我也沒用！！	tut002a.dios_story0101_0009
009	...！<br>蒼炎紋章...<br>你們是克勞利家的人？	tut002a.vlad_story0101_0003
010	我是安比利亞王國蒼炎騎士團，<br>團長吉克克勞利的長子<br>洛基·克勞利！	tut002a.logi_story0101_0013
011	次子迪歐斯·克勞利，<br>恩，如計劃進行...<br>要表揚你啊洛基。	tut002a.dios_story0101_0010
011a	首陣就打敗『雷轟將軍弗拉德』的話，<br>可是史無前例的大功勞啊。	tut002a.dios_story0101_0010_02
012	大罪人吉克之血的繼承者啊...！<br>也好...<br>作為祖國復興的首戰，確實是十分合適的對手。	tut002a.vlad_story0101_0004
012a	就將爾等之血<br>變成反擊的狼煙...！	tut002a.vlad_story0101_0004_02
013	拉斯特里斯三傑中屈指可數的<br>『雷轟將軍弗拉德』！　來吧，決以勝負！	tut002a.logi_story0101_0014
014	把我等王族殺盡的血狼吉克！<br>既是你的兒子...<br>那就絕沒有理由能放他們活著回去！！	tut002a.vlad_story0101_0005
