ID	JOB	BODY	BODY_TEXTURE	BODY_ATTACHMENT	HEAD	HEAD_ATTACHMENT	HAIR	HAIR_COLOR1	HAIR_COLOR2	PREFIX	MOVABLE	IS_JOB_DOWNSTAND	IS_JOB_DODGE	IS_JOB_DAMAGE	IS_JOB_STEP	IS_JOB_FALLLOOP	IS_JOB_JUMPLOOP	IS_JOB_PICKUP	IS_JOB_FREEZE	IS_JOB_GROGGY	IS_JOB_RIDEONLY	IS_JOB_COPY	IS_NO_TURN	IS_USE_COMMON_ANIM	IS_IGNORE_EXIST_FILE	
man	ank	M_ank_body_00	M_ank_body_00		M_head_default_000	M_ank_hat_00	M_hair_short_000	0,255,44	0,32,94	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	arm	M_arm_body_00	M_arm_body_00		M_head_default_000		M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	ass	M_ass_body_00	M_ass_body_00		M_luca_head_01		M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	baa	M_baa_body_00	M_baa_body_00		M_head_default_000	M_baa_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	bar	M_bar_body_00	M_bar_body_00		M_head_default_000	M_bar_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	bla	M_bla_body_00	M_bla_body_00		M_head_default_000	M_bla_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	dai	M_dai_body_00	M_dai_body_00		M_head_default_000		M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	dgn	M_dgn_body_00	M_dgn_body_00		M_head_default_000	M_dgn_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	dgr	M_dgr_body_00	M_dgr_body_00		M_head_default_000	M_dgr_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	doc	M_doc_body_00	M_doc_body_00		M_head_default_000	M_doc_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	enc	M_enc_body_00	M_enc_body_00		M_head_default_000		M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	gen	M_gen_body_00	M_gen_body_00		M_head_default_000	M_gen_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	gua	M_gua_body_00	M_gua_body_00		M_head_default_000	M_gua_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	gun	M_gun_body_00	M_gun_body_00		M_head_default_000	M_gun_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	gya	M_thi_body_00	M_thi_body_00		M_head_default_000		M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	hun	M_hun_body_00	M_hun_body_00		M_head_default_000	M_hun_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	huu	M_huu_body_00	M_huu_body_00		M_head_default_000	M_huu_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	kai	M_kai_body_00	M_kai_body_00		M_head_default_000	M_kai_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	kaj	M_kaj_body_00	M_kaj_body_01		M_head_default_000	M_kaj_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	kak	M_kak_body_00	M_kak_body_00		M_head_default_000		M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	kem	M_kem_body_00	M_kem_body_00		M_head_default_000		M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	ken	M_thi_body_00	M_thi_body_00		M_head_default_000		M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	kur	M_kur_body_00	M_kur_body_00		M_head_default_000	M_kur_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
man	kus	M_kus_body_00	M_kus_body_00		M_head_default_000	M_kus_hat_00	M_hair_short_000	255,128,128	94,0,0	M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
